KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
ii, yoi, 良い, good, ok, all right, fine, yo, yokunai, yokatta, yokunakatta, yokute, yomi, yokereba, yokarou, |ii, yoi|良い|good, ok, all right, fine|Adjective (i-keiyoushi)||||513|warui|kekkou, yoroshii|yo, yokunai, yokatta, yokunakatta, yokute, yomi, yokereba, yokarou|
takai, 高い, expensive, taka, takakunai, takakatta, takakunakatta, takakute, takami, takakereba, takakarou, |takai|高い|expensive|Adjective (i-keiyoushi)||||509, 538|yasui||taka, takakunai, takakatta, takakunakatta, takakute, takami, takakereba, takakarou|
takai, 高い, tall (object), high, taka, takakunai, takakatta, takakunakatta, takakute, takami, takakereba, takakarou, |takai|高い|tall (object), high|Adjective (i-keiyoushi)||||510, 511|||taka, takakunai, takakatta, takakunakatta, takakute, takami, takakereba, takakarou|
yasui, 安い, cheap, inexpensive, yasu, yasukunai, yasukatta, yasukunakatta, yasukute, yasumi, yasukereba, yasukarou, |yasui|安い|cheap, inexpensive|Adjective (i-keiyoushi)||||512, 538|takai||yasu, yasukunai, yasukatta, yasukunakatta, yasukute, yasumi, yasukereba, yasukarou|
miyasui, 見やすい, visible, understandable, easy on the eyes, easy to see, beautiful, pretty, miyasu, miyasukunai, miyasukatta, miyasukunakatta, miyasukute, miyasumi, miyasukereba, miyasukarou, |miyasui|見やすい|visible, understandable, easy on the eyes, easy to see, beautiful, pretty|Adjective (i-keiyoushi)||||513|imoshinai||miyasu, miyasukunai, miyasukatta, miyasukunakatta, miyasukute, miyasumi, miyasukereba, miyasukarou|
imoshinai, 居もしない, invisible, unseen, vague, mysterious, imaginary, imoshina, imoshinakunai, imoshinakatta, imoshinakunakatta, imoshinakute, imoshinami, imoshinakereba, imoshinakarou, |imoshinai|居もしない|invisible, unseen, vague, mysterious, imaginary|Adjective (i-keiyoushi)|||||miyasui||imoshina, imoshinakunai, imoshinakatta, imoshinakunakatta, imoshinakute, imoshinami, imoshinakereba, imoshinakarou|
warui, 悪い, bad, waru, warukunai, warukatta, warukunakatta, warukute, warumi, warukereba, warukarou, |warui|悪い|bad|Adjective (i-keiyoushi)||||514|ii, yoi, kekkou, yoroshii||waru, warukunai, warukatta, warukunakatta, warukute, warumi, warukereba, warukarou|
hikui, 低い, low, hiku, hikukunai, hikukatta, hikukunakatta, hikukute, hikumi, hikukereba, hikukarou, |hikui|低い|low|Adjective (i-keiyoushi)||||515|takai||hiku, hikukunai, hikukatta, hikukunakatta, hikukute, hikumi, hikukereba, hikukarou|
akarui, 明るい, bright, colorful, cheerful, akaru, akarukunai, akarukatta, akarukunakatta, akarukute, akarumi, akarukereba, akarukarou, |akarui|明るい|bright, colorful, cheerful|Adjective (i-keiyoushi)||||516|kurai||akaru, akarukunai, akarukatta, akarukunakatta, akarukute, akarumi, akarukereba, akarukarou|
kurai, 暗い, dark, gloomy, dull, depressed, despirited, sorowful, bitter, unclear, unfamiliar, unknown, kura, kurakunai, kurakatta, kurakunakatta, kurakute, kurami, kurakereba, kurakarou, |kurai|暗い|dark, gloomy, dull, depressed, despirited, sorowful, bitter, unclear, unfamiliar, unknown|Adjective (i-keiyoushi)||||517, 1383|akarui||kura, kurakunai, kurakatta, kurakunakatta, kurakute, kurami, kurakereba, kurakarou|
hiroi, 広い, wide, broad, spacious, hiro, hirokunai, hirokatta, hirokunakatta, hirokute, hiromi, hirokereba, hirokarou, |hiroi|広い|wide, broad, spacious|Adjective (i-keiyoushi)||||518|semai||hiro, hirokunai, hirokatta, hirokunakatta, hirokute, hiromi, hirokereba, hirokarou|
semai, 狭い, narrow, confined, not spacious, sema, semakunai, semakatta, semakunakatta, semakute, semami, semakereba, semakarou, |semai|狭い|narrow, confined, not spacious|Adjective (i-keiyoushi)||||519|hiroi||sema, semakunai, semakatta, semakunakatta, semakute, semami, semakereba, semakarou|
