KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Extra keywords|
sou desu ka, そうですか, Is that so?, |sou desu ka|そうですか|Is that so?|Common Expressions||||1150||||
shibaraku desu ne, しばらくですね, long time, eh?, |shibaraku desu ne|しばらくですね|long time, eh?|Common Expressions||||1151||||
ogenki desu ka, お元気ですか, are you well?, |ogenki desu ka|お元気ですか|are you well?|Common Expressions||||1152||||
irasshai, いらっしゃい, welcome, can I help you, may I help you, |irasshai|いらっしゃい|welcome, can I help you, may I help you|Common Expressions||||||||
irasshaimase, いらっしゃいませ, welcome, can I help you, may I help you, |irasshaimase|いらっしゃいませ|welcome, can I help you, may I help you|Common Expressions||||1153||||
oideyasu, おいでやす, welcome, can I help you, may I help you, |oideyasu|おいでやす|welcome, can I help you, may I help you|Common Expressions||Tokyo dialect for "irasshaimase".||||||
goran ni narimasu ka, ご覧になりますか, would you like to see it? (polite), |goran ni narimasu ka|ご覧になりますか|would you like to see it? (polite)|Common Expressions||||1154||||
karitemo ii desu ka, 借りてもいいですか, to lead to ..., |karitemo ii desu ka|借りてもいいですか|to lead to ...|Common Expressions||||1155||||
hajimemashite, はじめまして, pleased to meet you (1st meeting), introduction, to introduce oneself|hajimemashite|はじめまして|pleased to meet you (1st meeting)|Common Expressions||||1156|||introduction, to introduce oneself|
ohayou gozaimasu, おはようございます, good morning, pleasant shift, |ohayou gozaimasu|おはようございます|good morning, pleasant shift|Common Expressions||||1157||||
konnichi wa, こんにちは, hello, |konnichi wa|こんにちは|hello|Common Expressions||||1158||||
konban wa, こんばんは, good evening, |konban wa|こんばんは|good evening|Common Expressions||||1159||||
oyasumi nasai, おやすみなさい, good night, |oyasumi nasai|おやすみなさい|good night|Common Expressions||||1160||||
sayounara, さようなら, good bye, sayonara|sayounara|さようなら|good bye|Common Expressions||||1161|||sayonara|
doumo arigatou gozaimasu, (どうも) ありがとうございます, thank you (very much), |doumo arigatou gozaimasu|(どうも) ありがとうございます|thank you (very much)|Common Expressions||||1162||||
sumimasen, すみません, I am sorry, excuse me, |sumimasen|すみません|I am sorry, excuse me|Common Expressions||||1163||||
dou itashimashite, どういたしまして, you're welcome, not at all, |dou itashimashite|どういたしまして|you're welcome, not at all|Common Expressions||||1163||||
ii desu ne, いいですね, good idea, sounds good, sounds great, that's good|ii desu ne|いいですね|good idea|Common Expressions||||1164|||sounds good, sounds great, that's good|
sou desu ne, そうですね, I agree, |sou desu ne|そうですね|I agree|Common Expressions||||1165||||
dewa mata, ではまた, until next time, see you again next time, |dewa mata|ではまた|until next time, see you again next time|Common Expressions||||||||
ja mata, じゃまた, until next time, see you again next time, |ja mata|じゃまた|until next time, see you again next time|Common Expressions||||1166||||
okaerinasai, おかえりなさい, welcome back/home, |okaerinasai|おかえりなさい|welcome back/home|Common Expressions||||1167||||
okaeri, おかえり, welcome back/home, |okaeri|おかえり|welcome back/home|Common Expressions||||||||
oisogashii tokoro arigato gozaimasu, お忙しいところありがとございます, thank you very much for your time, |oisogashii tokoro arigato gozaimasu|お忙しいところありがとございます|thank you very much for your time|Common Expressions||||1168||||
