Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
17698|wa ... ga ii desu|～は...がいいです||1|wa, ga|||||104||188||177||
17699|wa ... ga ...|～は...が...||1|wa, ga|||||105||189||178||
17700|de ... en|～で...円||1|de, en|||||106|worth, priced, price, money|190|valeur, prix, argent|179|valor, precio, dinero|
17701|de utteiru|～で売っています||1|de utteimasu|||||107||191||180||
17702|ni suru|～にする||1|ni shimasu, nisuru|||||108|will take, will order|192|va prendre, va commander|181|tomará, ordenará|
17703|mo sou|～もそう||1|mosou|||||109||193||182||
17704|[verb] [noun]|～||1|ga|||||110||194||183||
17705|toori|～とおり||1|doori, toori ni, doori ni|||||112||195||184||
17706|hou ga ii da|ほうがいいです||1|hou ga ii desu, hou ga, ta hou ga, hougaii|||||113||196||185||
17707|ikura ...te mo|幾ら...ても||1|de mo, demo, temo|||||121||197||186||
17708|ii desu ka|いいですか||1||||||122||198||187||
17709|ikaga desu ka|いかがですか||1||||||160||199||188||
17710|dearu|～である||1||||||123||200||189||
17711|deatta|～であった||1||||||751||201||190||
17712|ga tsuiteimasu|がついています||1||||||124||202||191||
17713|ga hatteimasu|がはっています||1||||||125||203||192||
17714|ka nanika wo|か何かを||1||||||126||204||193||
17715|ka dareka wo|か誰かを||1||||||127||205||194||
17716|ka dokoka wo|かどこかを||1||||||128||206||195||
17717|darou|～だろう||1||||||129;130|likely, presumptive|207;208|probable, présomptif|196;197|probable, presunto|
17718|deshou|～でしょう||1||||||131;132|likely, presumptive|209;210|probable, présomptif|198;199|probable, presunto|
17719|no hoka|～のほか||1||||||133||211||200||
17720|sugiru|～すぎる||1|sugimasu, suginai, sugimashita, sugita|||||134||212||201||
17721|na n da|なんだ||1|bakkari ni, bakashi ni, bakkashi ni, nanda|||||137||213||202||
17722|dou sureba ii desu ka|どうすればいいですか||1|ba ii desu ka, dou sureba, ba yokatta, nakereba ii desu, nakereba yokatta desu, baii|||||141|it will be fine if, it will be enough if, you should do|214|ça ira si, ça suffira si, tu devrais faire|203|estará bien si, será suficiente si, deberías hacer|
17723|dou shitara ii desu ka|どうしたらいいですか||1|tara yokatta da, tara yokatta desu|||||143||215||204||
17724|tatoe …temo|たとえ...ても||1|tatoe demo|||||6204||216||205||
17725|sore ni shite mo|それにしても||1||||||170||217||206||
17726|naide|～ないで||1|do not do|||||172;173;174||218;219;220||207;208;209||
17727|ja nakute|～じゃなくて||1||||||178||221||210||
17728|mata wa|～又は||1|mata ha|||||179||222||211||
17729|to issho ni|～と一緒に||1||||||180|altogether with|223|tout à fait avec|212|en conjunto con|
17730|uchi ni|～内に||1||||||188|when, during|224|quand, pendant|213|cuando, durante|
17731|no tochuu de|～の途中で||1|途中|||||189|in the middle of, in the midst of, during|225|au milieu, pendant|214|en medio de, durante|
17732|tochuu ni|～途中に||1|途中|||||190|in the middle of, in the midst of, during|226|au milieu, pendant|215|en medio de, durante|
17733|tochuu de|～途中で||1|途中|||||191|in the middle of, in the midst of, during|227|au milieu, pendant|216|en medio de, durante|
17734|you ni to|～ようにと||1||||||196|initiator, initiates|228|initiateur, initie|217|iniciador|
17735|to ii n desu ga|～といいんですが||1|da to ii n da, da to ii n desu, da to ii da, da to ii desu|||||6104||229||218||
17736|to ii desu (ne)|～といいですね||1|da to ii n da, da to ii n desu, da to ii da, da to ii desu|||||6148||230||219||
17737|to iu|～と言う||1|da to imasu, da to iu, to itta, toiu|||||197;252;167;177;182|say that, tell that, I said that, she said that|231;480;477;478;479|dis que, dit que|220;480;471;472;473|di que, dije que, dijo que|
17738|to tsutaeru|～と伝える||1|da to tsutaeru, da to tsutaemasu, to tsutaeta|||||183|I said that, she said that, say that, tell that|232|dis que, dit que|221|di que, dije que, dijo que|
17739|to omou|～と思う||1|da to omou, da to omoimasu|||||198|I think that, she thinks that, you think that|233|je pense que, elle pense que, tu penses que|222|pienso eso, piensa eso, piensas que|
17740|to wa kagiranai|～とは限らない|da to wa kagiranai, だとは限らない|1|da to wa kagiranai, da to wa kagirimasen|||||199|is not always, do not always|234|n'est pas toujours, ne pas toujours|223|no es siempre, no siempre|
17741|tokoro dewa|～ところでは||1||||||200||235||224||
17742|ka ...ka|～か...か||1|ka, か|||||201|know if, believe that, think that, remember that, remember if|236|savoir si, croire que, penser que, se souvenir que|225|saber si, creer que, pensar que, recordar|
17743|ka dou ka|～かどうか||1||||||202;203|know if, believe that, think that|237;238|savoir si, croire que, penser que|226;227|saber si, creer que, pensar que, recordar|
17744|ka dou ka … te miru|～かどうか||1||||||204||239||228||
17745|you ni naritai|～ようになりたい||1|etai|||||213|will be able to do, will be able to be|240|sera capable de faire, pourra être|229|se podrá hacer|
17746|you ni naru kamo shirenai|～ようになるかもしれない||1|you ni naru kamo shiremasen|||||214|will not be able to do, will not be able to be|241|ne sera pas capable de faire, ne pourra pas être|230|no se podrá hacer|
17747|ni niteiru|～に似ている||1||||||216||242||231||
17748|ni tai suru|～にたいする||1||||||6742||243||232||
17749|to dochira ga|～とどちが||1||||||217||244||233||
17750|no naka de ... ga ichiban|～の中で...が一番||1||||||218||245||234||
17751|yori ... hou ga|～より...ほうが||1|hou ga, yori|||||219||246||235||
17752|noto ... noto|～のと...のと||1||||||221|which of, decision, decide|247|lequel de, décision, décide|236|cuál de, decisión, decide|
17753|yori mou sukoshi ...|～よりもう少し||1||||||222||248||237||
17754|teite|～ていて|deite|1||||||231||249||238||
17755|tete|～てて|dete|1||||||232||250||239||
17756|te iru|～ている||1|iru, te imasu, de iru, de imasu, teiru, deiru|||||233;234||251;252||240;241||
17757|te aru|～てある||1|aru, te arimasu, de aru, de arimasu, tearu, dearu|||||235||253||242||
17758|te iku|～て行く||1|iku, te ikimasu, de iku, de ikimasu, teiku, deiku|||||236;237;238||254;255;256||243;244;245||
17759|te oku|～ておく||1|oku, te okimasu, de oku, de okimasu, teoku, deoku|||||239|do preemptively, do in preparation for, do in advance|257|faire de façon préventive, faire en préparation, faire à l'avance|246|hacer preventivamente, hacer en preparación para, hacer por adelantado|
17760|ttoku|～っとく||1|ttokimasu|||||240|preemptively, preparation|258|à titre préventif, préparation|247|preventivamente, preparación|
17761|te kara|～てから||1|kara, de kara|||||241|then, afterwards|259|ensuite|248|luego, después|
17762|te kuru|～て来る||1|kuru, te kimasu, de kuru, de kimasu|||||242;243;244||260;261;262||249;250;251||
17763|te mo ii da|～てもいいだ||1|mo ii da, te mo ii desu, de mo ii da, de mo ii desu|||||245|alright, may, permission|263|d'accord, peut, permission|252|bien, mayo, permiso|
17764|te wa ikenai|～てはいけない||1|wa ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen, tehaikenai, tewaikenai|||||246|not allowed, not permitted, forbidden, may not, prohibition|264|interdit, interdiction|253|no permitido, prohibido, no puede, prohibición|
17765|cha ikenai|～ちゃいけない||1|ikenai, te wa ikemasen, de wa ikenai, de wa ikemasen|||||247|not allowed, not permitted, forbidden, may not, prohibition|265|interdit, interdiction|254|no permitido, prohibido, no puede, prohibición|
17766|te mo ii desu ka?|～てもいいですか?||1|mo ii desu ka, mou ii da, de mo ii desu ka, temoii, demoii|||||248|is it ok, is it fine, is ok, is fine, is acceptable, permission, may I, may she, may he, may they|266|est-ce que ça va, est-ce bien, est-il acceptable, permission, puis|255|está bien, es aceptable, permiso, puedo, puede|
17767|te ageru|～て上げる||1|ageru, te agemasu, de ageru, de agemasu|||||249||267||256||
17768|te hoshii|～てほしい||1|hoshii, te hoshii desu|||||250||268||257||
17769|te kudasai|～て下さい||1|kudasai, de kudasai|||||251||269||258||
17770|te kurenai|～て呉れない||1|kurenai, de kurenai|||||253||270||259||
17771|te kuremasen ka|～て呉れませんか||1|kuremasen ka, de kuremasen ka|||||6125||271||260||
17772|te itadakemasen ka|～て呉れませんか||1|itadakemasen ka, de itadakemasen ka|||||6126||272||261||
17773|te kureru|～て呉れる||1|kureru, te kuremasu, de kureru, de kuremasu|||||254||273||262||
17774|te miru|～て見る||1|miru, te mimasu, de miru, de mimasu|||||255||274||263||
17775|te mitai da|～て見たいだ||1|mitai da, te mitai desu, de mitai da, de mitai desu, te mitakatta, de mitakatta|||||256||275||264||
17776|te moraeru|～て貰えます||1|moraeru, te moraemasu, de moraeru, de moraemasu|||||257||276||265||
17777|te moraemasu ka|～て貰えますか||1|moraemasu ka, de moraemasu ka|||||258||277||266||
17778|te moreru to|～て貰えると||1|moreru to, de moraeru to|||||259||278||267||
17779|te itadaku|～ていただく||1|itadaku|||||6100||279||268||
17780|te goran|～てご覧||1|goran|||||260||280||269||
17781|te morau|～て貰う||1|morau, de moraimasu, de morau, de moraimasu|||||261||281||270||
17782|te moraitai|～て貰いたい||1|moraitai, de moraitai|||||262||282||271||
17783|te sokonau|～て損なう||1|sokonau|||||264||283||272||
17784|te moraitai n desu ga|～て貰いたいんですが||1|moraitai n desu ga, de moraitai no desu ga, de moraitai n desu ga, de moraitai no desu ga|||||265||284||273||
17785|te shimau|～て仕舞う||1|shimau, te shimau, te shimaimasu, de shimau, de shimaimasu|||||266;267||285;286||274;275||
17786|te shimatta|～て仕舞った||1|shimatta, te shimaimashita, de shimatta, de shimaimashita|||||268||287||276||
17787|cchimatta|～っちまった||1||||||269||288||277||
17788|te sumimasen|～てすみません||1|sumimasen|||||270||289||278||
17789|te bakari iru|～ばかりいる||1|bakari iru, bakkari iru, bakashi iru, bakkashi iru, bakkari imasu, bakashi imasu, bakkashi imasu|||||271||290||279||
17790|te koto wa dekinai|～ことはできない||1|koto wa dekinai, koto ha dekinai, koto ha dekimasen|||||272||291||280||
17791|te choudai|～て頂戴||1|choudai|||||273||292||281||
17792|sou ni naru|～そう||1|sou ni narimasu|||||274||293||282||
17793|nasasou|～無さそう||1|sou, sou ni nai, sou mo nai|||||275|doesn't look like, doesn't sound like, doesn't appear to be, apparently not, doesn't seem to be|294|ne ressemble pas, ne sonne pas, ne semble pas être, apparemment pas|283|no suena como, no parece ser, aparentemente no|
17794|eru|～える||1||||||276||295||284||
17795|eta|～えた||1||||||277||296||285||
17796|saseru|～させる||1||||||278||297||286||
17797|koto ga dekiru|～ことが出来る||1||||||279||298||287||
17798|koto|～こと|事|1|ru koto|||||280||299||288||
17799|koto ni kimeru|～ことに決める||1||||||281||300||289||
17800|beki|～べき||1||||||282||301||290||
17801|komu|～込む|篭む, 籠む, 混む|1||||||283||302||291||
17802|hajimeru|～始める|創める|1||||||284||303||292||
17803|chau|～ちゃう||1||||||285||304||293||
17804|chatta|～ちゃった||1|te shimaimashita, de shimatta, de shimaimashita|||||286||305||294||
17805|jau|～じゃう||1||||||725||306||295||
17806|jatta|～じゃった||1|te shimaimashita, de shimatta, de shimaimashita|||||726||307||296||
17807|(o) ni naru|～になる||1|ni naru|||||287||308||297||
17808|(o) nasaru|～なさる||1|nasaru|||||288||309||298||
17809|(o) suru|～する||1|suru|||||289||310||299||
17810|(o) itasu|～いたす||1|itasu|||||290||311||300||
17811|(o) kudasai|～下さい||1|kudasai|||||291||312||301||
17812|(o) naide kudasai|～ないで下さい||1|naide kudasai|||||292||313||302||
17813|(o) nasaimase|～なさいませ||1|nasaimase|||||293||314||303||
17814|(o) nasaimasu na|～なさいますな||1|nasaimasu na|||||294||315||304||
17815|nasai|～なさい||1||||||295||316||305||
17816|nasaru na|～なさるな||1||||||296||317||306||
17817|ta mama|～た儘|た侭|1|tamama|||||297||318||307||
17818|naosu|～直す||1||||||298||319||308||
17819|tai|～たい||1||||||299||320||309||
17820|takatta|～たかった||1||||||300||322||311||
17821|takunai|～たくない||1||||||301||323||312||
17822|takunakatta|～たくなかった||1||||||302||324||313||
17823|tai desu|～たいです||1||||||303||325||314||
