=|1494|1.3D|
è|5057|1.C3A8|
ê|10469|1.C3AA|
ā|3220|1.C481|
ō|1602;2951;3489;4059;4066;4209;4210;4550;5478;6324;7027;7071;7306;9742;9929;11437;11894;12351;12889;12908;14885;15073;16886|1.C58D|
ōō|4059;4550;9929;11894;16886|1.C58DC58D|
ōū|12605|1.C58DC5AB|
ōūō|12889|1.C58DC5ABC58D|
ū|1502;3152;6355;6983;7201;8424;10976;11130;12605;14704|1.C5AB|
ūō|12889|1.C5ABC58D|
‐|4875|1.E28090|
’|3929|1.E28099|
←|16776|1.E28690|
↑|16776|1.E28691|
→|16776|1.E28692|
↓|16776|1.E28693|
々|130;145;408;409;439;659;682;780;1738;3767;3796;3799;3801;4271;4315;4626;4677;4772;4902;5064;5125;5154;5205;5232;5611;5615;5773;5790;5840;5946;6173;6287;6494;6706;7028;7045;7076;7084;7307;7324;7397;7408;7516;7863;8012;8062;8576;8718;9264;9463;9983;10268;10308;10351;10859;11019;11028;11705;11735;12141;12260;12264;12403;12513;12658;12727;12732;12872;12897;13583;13690;14019;14028;14205;14281;14290;14583;14584;14853;14896;15272;16003;16092;16166;16286;16323;16516;16664;16671;16969;17122;17347;17415;19670;20153;20619;21176;21794;22037;22120;22844;23005|1.E38085|
々しい|247;334;5457;7834;8318;9234;10755;14397;14554;14574;16106|1.E38085E38197E38184|
々する|19670;20153;20619;21176;21794;22037;22120;22844;23005|1.E38085E38199E3828B|
々と|421|1.E38085E381A8|
々に|6288;8808;14005|1.E38085E381AB|
々も|14034|1.E38085E38282|
々人|13692|1.E38085E4BABA|
々件|13380|1.E38085E4BBB6|
々後日|4800|1.E38085E5BE8CE697A5|
々日|15511|1.E38085E697A5|
々浦々|17415|1.E38085E6B5A6E38085|
々的|11192|1.E38085E79A84|
々草|10853|1.E38085E88D89|
〆|15565|1.E38086|
〇|3097|1.E38087|
〇コ|1058|1.E38087E382B3|
〜|21|1.E3809C|
ぁ|21;3733;9726|1.E38181|
あ|21;418;624;912;3698;3720;3730;3740;7038;10613|1.E38182|
あぁ|9726|1.E38182E38181|
ああ|418;3698;3720|1.E38182E38182|
あい|3174;4266;6382|1.E38182E38184|
あいだ|7429|1.E38182E38184E381A0|
あいつら|3761|1.E38182E38184E381A4E38289|
あいつ等|4710|1.E38182E38184E381A4E7AD89|
あい変らず|141|1.E38182E38184E5A489E38289E3819A|
あい変わらず|141|1.E38182E38184E5A489E3828FE38289E3819A|
あい昧|10693|1.E38182E38184E698A7|
あう|11048;18893;18910;18937;18952;18971|1.E38182E38186|
あえず|100|1.E38182E38188E3819A|
あお向け|10750|1.E38182E3818AE59091E38191|
あからさま|582|1.E38182E3818BE38289E38195E381BE|
あがり|5623|1.E38182E3818CE3828A|
あがる|18336;18630;18663;18751;18773|1.E38182E3818CE3828B|
あくる日|10715|1.E38182E3818FE3828BE697A5|
あけ|9126|1.E38182E38191|
あげ|9647;14389|1.E38182E38192|
あげする|22141|1.E38182E38192E38199E3828B|
あげる|19222;19235;19244;19330;19376;19419;19427;19622|1.E38182E38192E3828B|
あさ飯|7098|1.E38182E38195E9A3AF|
あし|8535|1.E38182E38197|
あたり|6232;9874;16804|1.E38182E3819FE3828A|
あたりする|22822|1.E38182E3819FE3828AE38199E3828B|
あたり前|571|1.E38182E3819FE3828AE5898D|
あたる|18748;18755|1.E38182E3819FE3828B|
あだ名|10681;21290|1.E38182E381A0E5908D|
あだ名する|21290|1.E38182E381A0E5908DE38199E3828B|
あちら|693|1.E38182E381A1E38289|
あっ|4164|1.E38182E381A3|
あっさり|399|1.E38182E381A3E38195E3828A|
あった|17430|1.E38182E381A3E3819F|
あっ勝|10775|1.E38182E381A3E58B9D|
あっ勝する|21277|1.E38182E381A3E58B9DE38199E3828B|
あっ化|5212|1.E38182E381A3E58C96|
あっ化する|20158|1.E38182E381A3E58C96E38199E3828B|
あっ旋|10774|1.E38182E381A3E6978B|
あっ旋する|21278|1.E38182E381A3E6978BE38199E3828B|
あっ気|10709|1.E38182E381A3E6B097|
あっ縮|10776|1.E38182E381A3E7B8AE|
あっ縮する|21276|1.E38182E381A3E7B8AEE38199E3828B|
あて|14259|1.E38182E381A6|
あと|4747;5927|1.E38182E381A8|
あなたの|3777|1.E38182E381AAE3819FE381AE|
あなた方|5946|1.E38182E381AAE3819FE696B9|
あに|3861|1.E38182E381AB|
あの|3732|1.E38182E381AE|
あのう|3732|1.E38182E381AEE38186|
あの世|6592|1.E38182E381AEE4B896|
あの世に行く|10412|1.E38182E381AEE4B896E381ABE8A18CE3818F|
あの人|6590|1.E38182E381AEE4BABA|
あの方|6591|1.E38182E381AEE696B9|
あまあ|624|1.E38182E381BEE38182|
あまり|177|1.E38182E381BEE3828A|
あま味|10723|1.E38182E381BEE591B3|
あやかし|2067|1.E38182E38284E3818BE38197|
あら|3722|1.E38182E38289|
あらう|18926|1.E38182E38289E38186|
あらわれる|19015|1.E38182E38289E3828FE3828CE3828B|
あら筋|10761|1.E38182E38289E7AD8B|
