100|3059|
1000|839|
10000|3082|
à|5934|
abac|4650|
abais|1356;1575;2042;8103;16797|
abaissement|1205|
abaisser|19245;19322;19505|
abandon|4199;4917;5545;9567;11230|
abandonné|285;15380|
abandonner|5761;12406;12425;17883;18004;18007;18601;18828;19190;19211;19307;19318;19347;19473;19600;19616|
abandont|13509|
abane|3469|
abanon|3469|
abaque|10249|
abarit|6402|
abattre|17864;17878;18080;18153;19260|
abbé|15627|
abbréviation|15081|
abdiquer|9644|
abdomen|2228|
abe|1509;2576|
abeille|2569|
abel|2923|
abète|10872|
abeur|2481;15073|
abia|9255|
abile|284;329;618;4391;4817;5242;7970;13885|
abilement|403;463;16354|
abileté|12930;16353|
abilitation|1321;5312;15138|
abilité|483;503;553;618;1405;1546;1588;1770;1948;2092;2347;3972;4549;5829;11422;11577;11786;12109;13388;13843;13878;13912;14112;14394;16278;16428;16587;16966|
abillement|4322;4851|
abiller|19478|
abîme|4264|
abîmer|17835|
abine|3469|
abinet|8083;9172;16317|
abit|2316;12666;12683|
abitant|6386|
abitants|6385|
abitat|11829|
abitation|3551;6519;6534;10438|
abité|4308|
abiter|11662;18358|
abits|4322;4851;11884|
abitude|1554;6423;9924|
abituel|171;261;357;571;631;1517;1669;1908;2177;7852;12301;14556|
abituellement|171;716;2177;12198|
abituer|18036|
abject|4415|
ablant|12710|
able|91;151;187;201;202;206;208;210;211;219;234;243;246;250;259;260;267;268;278;280;289;294;296;297;303;308;314;316;324;341;346;348;349;358;359;362;465;473;484;485;488;492;494;501;529;534;538;541;561;563;567;571;572;583;592;600;603;627;650;651;661;662;804;819;1405;1411;1729;2046;2169;2323;2347;2432;2711;2905;3082;3131;3220;3254;3780;3869;3893;3913;4290;4343;4415;4579;4764;4772;4881;4897;4903;5109;5160;5206;5336;5456;5459;5538;5584;5612;5732;5932;6173;6202;6277;6303;6306;6452;6454;6458;6511;7082;7288;7631;7875;8363;8463;8464;8546;8551;8802;9019;9144;9157;9307;9532;9664;10078;10100;10910;10958;11252;11345;11445;11466;11467;11468;11589;11606;11657;11919;12222;12266;12311;12312;12517;12562;12579;12710;12953;13145;13163;13418;13473;13808;13972;14257;14315;14451;14485;14522;14572;14711;14786;14915;15479;16001;16063;16156;16170;16352;16399;16469;16720;16787|
âble|8906|
ableau|6008|
ablement|112;138;145;148;151;168;185;187;437;462;463;611;1894;5335;5611;7854;9303;11236;15941|
abli|507|
ablir|7486;17820;17954;18057;18116;18156;18541;19185;19196;19274;19363;19375;19462;19568;19606|
ablissement|1187;1321;3571;3585;3976;7318;7505;8203;9949;11484;16068|
abnégation|6665|
abo|7630;15412|
abole|6277|
abolique|14083|
abolir|7732;18004;19347;19807|
abolisme|16247|
abolition|7214;16448|
abominable|4903;10100|
abond|11547|
abondamment|516;16827|
abondance|12411|
abondant|164;349;16827;16915|
abonnement|1319|
aborateur|3206|
aboration|1147;8932|
aboratoire|1505;3487|
aboré|13721|
aborer|16127;18541;19141;19224|
aborieux|2240|
abos|15411|
abot|2278|
aboter|18803|
abou|13599|
abourer|17820;18117;18541|
abouret|2752|
abousser|18919|
aboutir|18564|
aboyer|18145;19414|
abrégé|7576;13262|
abrègement|7576|
abréger|6558;17952|
abréviation|7576;15083;16316|
abri|3469;7707|
abricant|8067|
abrication|1299;2218;6488;7480;7481;7488;15194|
abriqué|13187|
abriquer|5408;18541;19291;19614|
abrogation|5255;7214;16448|
abrupt|9607;13473;16604|
abrupte|359|
abscons|235|
absence|1099;2002;11609;14948|
absolu|132;480;627|
absolument|131;132;5144;14242|
absorber|19036|
absorption|4468;5333;10434|
abstraction|11164|
abstrait|11164;11166;14457|
absurde|219;468;510;4903;5336;5951;10807;14257;14447|
absurdité|510;7855;11441;11461|
abuge|1306|
abulaire|2214;4945|
abulateur|5130|
abulation|14066|
abus|6200;10714;12150|
abuser|17840;17945|
abyrinthe|14278|
acable|324;359|
açade|1674;7167|
açage|16658|
acance|1715;5941|
acances|512;2002;2179;14948|
acant|6091|
açant|298;1999;2108;10963;13890|
acard|8484;9172;13374|
acarder|18583|
acarme|14878|
acas|4135|
acassant|250|
acasser|17915;17959;18162;18697|
accablant|12710|
accéder|18189;19304|
accélération|13323|
accélérer|19704|
accent|1401;9728;10892;16844|
accentuation|6507;9728|
accentuer|19341|
acceptable|4343;14572|
acceptation|1100;3548;12921;12954;13252|
accepter|18124;18694;19026;19194;19244;19299;19352;19439;19493;19533|
accès|5894;6053|
accessible|13473|
accession|9339|
accessoire|9729|
accessoires|6603|
acceuillir|18094|
accident|631;1259;1402;1470;5697;6399;9608;11487;11946;16061|
accidenté|13473|
accidentel|11944;14824|
accidentellement|11584|
acclamations|13269|
acclimatation|16404|
