Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
Family|English|T/I|Prep|Kana|Kanji|u-stem|Root Kanji|Root|i-stem|a-stem|o-stem|e-stem|te-stem|ta-stem|masu-stem|u|ta|nai|nakatta|masu|mashita|masen|masen deshita|teiru|teite|teru|tete|teinai|tenai|teimasu|teimasen|teita|teimashita|teimasen deshita|u|ni naru|nasaru|suru|itasu|kudasai|(o) kudasai|naide kudasai|(o) nasaimase|(o) nasaimasu na|e/ro|e/yo|u na|nasai|nasaru na|tai|takatta|takunai|takunakatta|tai desu|tai deshita|taku arimasen|taku arimasen deshita|tagaru|ba|nakya|nakereba|maseba/masureba|masen nara|tara|nakattara|mashitara|masen deshitara|tai|ou|mai|teyou|mashou|masu mai|nakya (ikenai)|nakereba ikenai|nakereba naranai|ikenai|naranai|dame|nakereba ikemasen|nakereba narimasen|ikemasen|narimasen|dame desu|darou|darou|nai darou|nakatta darou|deshou|nai darou|deshou|nai deshou|tari|nakattari|teitari|teinakattari|seru|su|senai|semasu|semasen|serareru|sareru|serarenai|seraremasu|seraremasen|reru|reta|renai|remasu|remasen|rete|eru|reru|eta|enai|emasu|emasen|i|te|naide|nakute|mashite|masende|masende|nakucha (ikenai) (ikenai)|nakute wa ikenai|nakute wa ikemasen|koto|nai koto|ta koto|te koto|teiru koto|teinai koto|teita koto|te ageru|kureru|morau|te iku|te oku|ttoku|shimau|chau/jau|shimatta|chatta/jatta|miru|suru|te aru|kuru|hoshii|mo ii|mo kamawanai|nakute mo ii|n da|n desu|no da|no desu|sugiru|sugi da|au|dasu|hajimeru|naosu|okureru|owaru|wasureru|yagaru|kaneru|ageru|ni|nagara|nasasou|tsuzuku|kata|nikui|yasui|sasu|yagare|nu|zu|zaru|zaru wo enai|
su godan|||||XXXす|su|||し|さ|そう|せ|して|した|し|す|した|さない|さなかった|します|しました|しません|しませんでした|している|していて|してる|してて|していない|してない|しています|していません|していた|していました|していませんでした|*|(お)しになる|(お)しなさる|(お)しする|(お)しいたす|して下さい|(お)し下さい|さないで下さい|(お)しなさいませ|(お)しなさいますな|せ|せ|すな|しなさい|しなさるな|したい|したかった|したくない|したくなかった|したいです|したいでした|したくありません|したくありませんでした|したがる|せば|さなきゃ|さなければ|しませば|しませんなら|したら|さなかったら|しましたら|しませんでしたら|したければ|そう|すまい|してよう|しましょう|しますまい|さなきゃ (いけない)|さなければいけない|さなければならない|してはいけない|してはならない|してはだめだ|さなければいけません|さなければなりません|してはいけません|してはなりません|してはだめです|すだろう|しただろう|さないだろう|さなかっただろう|すでしょう|したでしょう|さないでしょう|さなかったでしょう|したり|さなかったり|していたり|していなかったり|させる|さす|させない|させます|させません|させられる|さされる|させられない|させられます|させられません|される|された|されない|されます|されません|されて|せる|れる|せた|せない|せます|せません|し|して|さないで|さなくて|しまして|しませんで|さずに|さなくちゃ (いけない)|さなくてはいけない|さなくてはいけません|すこと|さないこと|したこと|してこと|していること|していないこと|していたこと|してあげる|してくれる|してもらう|していく|しておく|しっとく|してしまう|しちゃう|して仕舞った|しちゃった|してみる|してする|してある|してくる|してほしい|してもいい|してもかまわない|さなくてもいい|すんだ|すんです|すのだ|すのです|しすぎる|しすぎだ|し合う|しだす|し始める|し治す|し遅れる|し終わる|し忘れる|しやがる|しかねる|しあげる|しに [verb]|しながら|さなさそう|し続く|し方|しにくい|しやすい|しさす|しやがれ|さぬ|さず|さざる|さざるをえない|
su godan|to do|T|を|いたす|致す|itasu|致|ita|||||||||||||||||||||||||||する|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
su godan|to say, to be called|T|と|もうす|申す|mousu|申|mou|||||||||||||||||||||||||||話す|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||下さい|(お)下さい|ないで下さい|(お)なさいませ|(お)なさいますな|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan||||XXXく|XXXく|ku|||き|か|こう|け|いて|いた|き|く|いた|かない|かなかった|きます|きました|きません|きませんでした|いている|いていて|いてる|てて|いていない|いてない|いています|いていません|いていた|いていました|いていませんでした|*|(お)きになる|(お)きなさる|(お)きする|(お)きいたす|いて下さい|(お)き下さい|かないで下さい|(お)きなさいませ|(お)きなさいますな|け|け|くな|きなさい|きなさるな|きたい|きたかった|きたくない|きたくなかった|きたいです|きたいでした|きたくありません|きたくありませんでした|きたがる|けば|かなきゃ|かなければ|きませば|きませんなら|いたら|かなかったら|きましたら|きませんでしたら|きたければ|こう|くまい|いてよう|きましょう|きますまい|かなきゃ (いけない)|かなければいけない|かなければならない|いてはいけない|いてはならない|いてはだめだ|かなければいけません|かなければなりません|いてはいけません|いてはなりません|いてはだめです|くだろう|いただろう|かないだろう|かなかっただろう|くでしょう|いたでしょう|かないでしょう|かなかったでしょう|いたり(する)|かなかったり(する)|いていたり|いていなかったり|かせる|かす|かせない|かせます|かせません|かせられる|かされる|かせられない|かせられます|かせられません|かれる|かれた|かれない|かれます|かれません|かれて|ける|れる|けた|けない|けます|けません|き|いて|かないで|かなくて|きまして|きませんで|かずに|かなくちゃ (いけない)|かなくてはいけない|かなくてはいけません|くこと|かないこと|いたこと|いてこと|いていること|いていないこと|いていたこと|いてあげる|いてくれる|いてもらう|いていく|いておく|きっとく|いてしまう|いちゃう|いて仕舞った|いちゃった|いてみる|いてする|いてある|いてくる|いてほしい|いてもいい|いてもかまわない|かなくてもいい|くんだ|くんです|くのだ|くのです|きすぎる|きすぎだ|き合う|きだす|き始める|き治す|き遅れる|き終わる|き忘れる|きやがる|きかねる|きあげる|きに [verb]|きながら|かなさそう|き続く|き方|きにくい|きやすい|きさす|きやがれ|かぬ|かず|かざる|かざるをえない|
ku godan|to receive, to get, to accept, to take, to buy, to eat, to drink, to be crowned with|T||いただく|頂く|itadaku|頂|itada|||||||||||||||||||||||||||食べる, 飲む, 来る, 貰う|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to hear, to listen, to ask, to enquire, to query|T|を|きく|聞く|kiku|聞|ki||||||||||||||||||||||||||||*|*|伺う|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to listen, to be told, to obey, to follow, to ask, to enquire, to query|T|を/に|きく|聴く|kiku|聴|ki||||||||||||||||||||||||||||*|*|伺う|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ku godan|to ask, to enquire, to query, to listen (formal)|T|を/に|きく|訊く|kiku|訊|ki||||||||||||||||||||||||||||*|*|伺う|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
