1.E39082|##||||
1.E39086|##|to follow, to trust to, to put confidence in, to depend on, to turn around, to turn the body|||
1.E390AC|##|a cup with pendants, a pennant, wild, barren, uncultivated|||
1.E390AE|##|to help, to assist, to achieve, to rise, to raise|||
1.E391A8|##|great, big, tall, vast, noble, high in rank, very, much|||
1.E391AA|##|a generation, a class, a series, a kind|||
1.E39292|##|a slave, a servant, used conventionally for oneself, a charioteer|||
1.E392B5|#かお#|manner, appearance, form, face, bearing|||
1.E392BC|##|average, equivalent, corresponding, to cover something carefully and tightly without a break|||
1.E39381|##|a net, net-like, radical 122|||
1.E39387|##||||
1.E3939B|##|merit, achievement, meritorious, efficacy, good results|||
1.E3949F|##||||
1.E3959D|##||||
1.E3959E|##|a brush, to brush, to clean, to scrub, to print, expecially from blocks|||
1.E395A3|##|a marsh at the foot of the hills, name of a river|||
1.E395AE|##|to chew, to masticate, to dwell on, Chinese medicine term|||
1.E396A6|##|loquacity|||
1.E396A8|##|Indistinct nasal utterance, laugh, sound of birds|||
1.E39785|##|angry, the throat, what? how? why? which?|||
1.E3979A|##|vexingly verbose or wordy, prosy, complicated, annoying|||
1.E397B4|##|dogs fighting, to go to law, an indictment|||
1.E39885|##|to hold in the mouth|||
1.E3998A|##|an area of level ground, an open space, a threshing floor, arena for drill_ etc., a place to pile a sand-hill|||
1.E39A91|##||||
1.E39A96|##|to come out to the open, to be known by all, glossy, shining|||
1.E39A99|##||||
1.E39B8F|##|used in girl's name|||
1.E39DA1|##|very, exceedingly, most, superior|||
1.E39DA2|##|a house, a roof, look, appearance, space|||
1.E39DAB|##|shape of the sky|||
1.E39DAC|##||||
1.E39DB5|##|to get, complacent, to obstruct, to hinder, to stop progress, to injure, to offend, to concern, hindrance, restraint|||
1.E39E8D|##||||
1.E39F81|##|shore, bank, beach, coast|||
1.E39FA2|##|the rocks on the hills are of different shapes, rugged and weird, character different from others|||
1.E39FA8|##|a fountain in the side of a hill, name of a mountain|||
1.E39FB4|##|lump on the hills, rugged, rough, lofty, steep, the dejection one feels at heart|||
1.E39FBD|##|mountain top, summit, pointing mountain|||
1.E3A080|##|island, isle|||
1.E3A0AF|##||||
1.E3A0B6|##|a sail, to sail|||
1.E3A180|##|ragged clothing, ragged, old and wear out|||
1.E3A19C|##|ragged clothes, left over, remainder, the excess, the surplus, to cut out (of silk fabrics) as a design|||
1.E3A1A1|##|screen to make a temporary kitchen|||
1.E3A3BA|##|the heart, the moral nature, the mind, the affections, intention, the radical on left side of the character|||
1.E3A497|##||||
1.E3A49A|##|joy, delight, gratification|||
1.E3A5AF|##|careful, compassionate, to take an interest in, prudent, cautious, worried and grieved|||
1.E3A9AE|##|to lift up or off, to raise high, to unveil|||
1.E3A9B3|##|to hold, to grasp, to detain, to uphold, to push, to stand upright, expel, to shirk, to raise up|||
1.E3AB96|##||||
1.E3AB97|##|thick, deep friendship, to treat kindly, generous|||
1.E3ABAA|##|to pound (grain) in order to remove the husk|||
1.E3AC8E|##|motes in a sunbeam, bright, fibrous, to manifest, to display, to be illustrious, evident, to seem, to appear, cocoons, chrysalis, will not have a pleasant conversation|||
1.E3AC9A|##|light, bright, clear|||
1.E3AC9C|##|to advance, to increase, to flourish|||
1.E3ACA2|##|sunshine, sunlight, the light of day|||
1.E3ADAD|##|a kind of tree, a harrow, a drag, a written contract or agreement, a bond, a deed, handles of spears or lances used in ancient times|||
1.E3ADB7|##||||
1.E3AE87|##|a builder's frame for measuring, juniper, a poker (for stirring fire), a cylinder part on the old style of wooden doors|||
1.E3AE88|##|but, how, what, a remedy, a resource, to bear, to endure|||
1.E3AE8D|##|a memorandum tablet, slip of paper, fancy note-paper, a note, a document, comments|||
1.E3AEA4|##|pine, fir, loose, lax, slack|||
1.E3AEB6|##|a tree, a fence, a palisade, a railing|||
