Shortcut|Type|
A|Adverb|
ADc|Adverb: Declarative|
ADg|Adverb: Degree|
Ai|Adjective (i-keiyoushi)|
Aj|Adjective (general)|
AM|Adverb: Manner|
Ana|Adjectivial Noun (na-keiyoushi)|
AO|Adverb: Order|
AP|Adverb: Place|
AT|Adverb: Time|
C|Counter|
CE|Common Expression|
CEA|Common Expression - Adverb|
CEAi|Common Expression - i-Adjective|
CEAna|Common Expression - na-Adjective|
CEN|Common Expression - Noun|
CEP|Common Expression - Particle|
CES|Common Expression - Idiom|
CEV|Common Expression - Verb|
CO|Sentence Conjunction|
iAC|i-Adjective (i-keiyoushi) Conjugation |
IES|Impolite Expressions & Swearwords|
naAC|na-Adjective (na-keiyoushi) Conjugation |
NAc|Noun: Activity|
NACF|Noun: Abstract Concept / Fact|
NAn|Noun: Anatomy|
NAt|Noun: Attire|
NB|Noun: Beliefs|
NCo|Noun: Color|
NCu|Noun: Culinary|
NDM|Noun: Days of the Month|
NDW|Noun: Days of the Week|
NFa|Noun: Fauna|
NFl|Noun: Flora|
NFy|Noun: Family|
NGO|Noun: General Object|
NJEP|Noun: Japanese Eras & Periods|
NMAC|Noun: Music, Art & Culture|
NMe|Noun: Medical|
NMo|Noun: Months|
NMSE|Noun: Maths, Science & Engineering|
NN|Noun: Number|
NNe|Noun: Name|
NNE|Noun: Natural Element|
NNn|Noun: Nation|
NOI|Noun: Organizations & Institutions|
NPe|Noun: Person|
NPl|Noun: Place|
NS|Noun: Space|
NT|Noun: Temporal|
NV|Noun: Vehicle|
NW|Noun: Weeks|
NY|Noun: Years|
OI|Onomatopeia & Interjections|
P|Pronoun|
PC|Phrase Construction|
PP|Particle/Preposition|
PPS|Particle / Suffix|
Px|Prefix|
PxN|Noun / Prefix|
Sa|Special adjective|
SI|Special: Interrogative|
Sx|Suffix|
SxN|Noun / Suffix|
UNC|Unclassified|
VbuI|Verb bu godan, intrans.|
VbuT|Verb bu godan, trans.|
VC|Verb Conjugation|
VdaI|Verb desu copula, intrans.|
VdaT|Verb desu copula, trans.|
VguI|Verb gu godan, intrans.|
VguT|Verb gu godan, trans.|
VkuI|Verb ku godan, intrans.|
VkuruI|Verb kuru compound, intrans.|
VkuruT|Verb kuru compound, trans.|
VkuT|Verb ku godan, trans.|
VmuI|Verb mu godan, intrans.|
VmuT|Verb mu godan, trans.|
VnuI|Verb nu godan, intrans.|
VnuT|Verb nu godan, trans.|
VrugI|Verb ru godan, intrans.|
VrugT|Verb ru godan, trans.|
VruiI|Verb ru ichidan, intrans.|
VruiT|Verb ru ichidan, trans.|
VsuI|Verb su godan, intrans.|
VsuruI|Verb suru compound, intrans.|
VsuruT|Verb suru compound, trans.|
VsuT|Verb su godan, trans.|
VtsuI|Verb tsu godan, intrans.|
VtsuT|Verb tsu godan, trans.|
VuI|Verb u godan, intrans.|
VuT|Verb u godan, trans.|
