MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
2|to, toward|PP||X e|764|||
3|also, either|PP||X mo|765|||
4|even|PP||X mo|1354|||
5|both ... and|PP|Used in affirmative sentences.|X mo Y mo|766, 1262|||
6|neither ... nor|PP|Used in negative sentences.|X mo Y mo||||
7|and|PP||X to|767|||
8|with|PP||X to|768|||
9|when|PP||X to||||
10|object marker|PP|Used in phrases such a "to imasu" or "to moshimasu".|X to||||
11|if X then Y|SSCC|ME#0101;0102|||||
12|and (amongst others)|PP||X ya||||
13|and so forth, and the like, etc...|PP||X nado|769, 1291|||
14|of, made of|PP|Possessive marker.|X no|770|||
15|pronunciation of hyphen|PP|||772|||
16|feminine tone|PP|Used at the end of a sentence|X no|773|||
17|question marker|PP|Alternative to "ka", used in casual speech.|X no?||||
18|noun descriptor|PP||X no Y @ Y = noun, X = descriptor|774|||
19|in fact, indeed|PP|Used to provide emphasis to the sentence, politer than "n".|X no @ X = verb (any tense)|775, 776, 777|||
20|polite softener|PP|Used as a softener to the sentence, politer than "n".|X no @ X = verb|778, 779|||
21|noun modifier for verb|VC|Used to make a noun out of a verb (all plain tenses), similar in function to "koto" in forming a verb gerund.|X no @ X = verb plain form|867, 1387, 1388, 1389|||
22|pronoun modifier and use as subject|PP|This is a combination of two prepositions: a possessive marker "no" and a subject indicator "ga". It transforms the phrase (adverb, adjective, verb) into a noun for use as the subject of an enclosing phrase. The enclosing phrase in turn requires the "ga" subject marker due to the grammar rules governing it.|X no ga|771, 1453, 1480|||
23|good at, not good at, like to do/be, dislike to do/be|SSD||X no ga Y da @ X = verb plain form, Y = suki, kirai, ii, warui, jouzu, etc..|1387|||
24|noun modifier and use as object|PP|This is a combination of two prepositions: a possessive marker "no" and an object indicator "wo". It transforms the phrase (adverb, adjective, verb) into a noun for use as the object of an enclosing phrase. The enclosing phrase in turn requires the "wo" subject marker due to the grammar rules governing it.|X no wo|1455|||
25|in fact, indeed|PP|Used to provide emphasis to the sentence, casual form of "no".|X n @ X = verb|780, 781, 782|||
26|softener, emphasizer|PP|Used as a softener/emphasizer to the sentence, casual form of "no".|X n @ X = verb|783, 784,  1481, 1482|||
27|verb object marker|PP||X wo Y @ X = object, Y = verb|785, 1343|||
28|gerund object marker|PP||X wo Y @ X = object, Y = verb gerund|786, 787|||
29|"leaving" verb object marker|PP|Used for "leaving" verbs: deru, oru, etc..|X wo Y @ X = object, Y = verb|788, 789|||
30|"going through" verb object marker|PP|Used for "going through" verbs: magaru, etc..|X wo Y @ X = object, Y = verb||||
31|subject marker|PP||X wa|790, 791|||
32|choice marker|PP|Presents the set from which a choice may be made.|X wa|792|||
33|verb object marker|PP|Used instead of wo/ga when making a general statement (as opposed to wo/ga).|X wa|793|||
34|verb object marker|PP|Used instead of wo/ga when comparing statements.|X wa|794, 795, 796|||
35|verb object marker|PP|Used instead of wo/ga in distinct cases such as "aru" in negative tenses.|X wa Y @ X = object, Y = verb||||
36|you know, certainly, hear me out|PP|Used at the end of a sentence to provide emphasis when giving information. Usually said by a female character.|X wa||||
37|location of an activity|PP|Is differentiated from the use of "ni" for an action taking place at a location by the short-term aspect of the action, e.g. eating at a restaurant.|X de|797, 798, 1317|||
38|by means of|PP||X de|799|||
39|substance of a material|PP||X de|800, 211|||
40|because of, due to|PP||X de|801, 163, 1385|||
41|limits in space|PP||X de|802|||
42|limits in time|PP||X de|803|||
43|limits in price or quantity|PP||X de|804|||
44|X and Y|SSSi||X de Y|977|||
45|even|PP||X datte||||
46|too, as well, also|PP||X datte||||
47|they say, I hear, you mean|PP||X datte||||
48|after all, because|SSD|Used colloquially (casual speech) only.|datte X @ X = phrase||||
49|but|SSOF|Used colloquially (casual speech) only.|datte X @ X = phrase||||
50|you know, certainly, hear me out|PP|ME#0051;0052|||||
51|confirmation|PP|Used at the end of sentence.|X yone|806|||
52|na-adjective marker|PP|Equivalent to "no" used to describe nouns.|X na @ X = na-adj.|807|||
53|you are ordered not to do/be X|VC||X na @ X = verb plain form||||
54|question marker|PP|ME#0053;0054;0055|||||
55|don't know if yes or no|PP|ME#0056;0057;0058|||||
56|or|PP|X or Y.|X ka Y @ X/Y = noun|810|||
57|I don't Y if X is ...|SSR||X ka Y @ X = question, Y = know/think/believe/etc..|1015|||
58|either or|PP|either X or Y.|X ka Y ka|811|||
59|emphasis|PP|Used at the end of a sentence to emphasize it.|X ga|812|||
60|object marker|PP|ME#0059;0060;0061;0062;0063|||||
61|subject marker|PP|ME#0064;0065;0066;0067;0068|||||
62|but|SSOF|ME#0144;0145|||||
63|and (less common)|SSOF|ME#0146;0147;0148|||||
64|kanji connector|PP|Used to join two kanjis when forming a noun.|X ka/ga Y @ X = kanji, Y = kanji||||
65|negative question marker|PP|Use "ne" and "wa ne" for male and female colloquial speech respectively.|X ne? / X wa ne?|819|||
66|opinion|PP|Use "ne" and "wa ne" for male and female colloquial speech respectively.|X ne? / X wa ne?|820|||
67|(away) from|PP||X kara|821|||
68|therefore|SSCC|ME#0132;0133|||||
69|until, by a certain time|PP||X made|822|||
70|up to|PP||X made||||
71|except for|PP||X nozoi||||
72|quite, entirely, completely, at all|PP||X marude||||
73|like, similar to|PP||X you de||||
74|like, similar to, same as|PP||X goto||||
75|between|PP|between X and Y|X to Y no made||||
76|made by, because of, due to, by means of, depending on, according to|PP||X ni yotte|1309, 1310, 1311|||
77|existence at a location, performing a continuous action at a location|PP|Is differentiated from the use of "de" for an action taking place at a location by the long-term continuity of the action, e.g. sleeping at a location.|X ni|823|||
78|final location|PP||X ni|824|||
79|final destination|PP||X ni|825|||
80|time of an action/event|PP||X ni|827|||
81|frequency or proportion of an action/event|PP||X ni|828|||
82|change or resulting condition|PP||X ni|829|||
83|object marker for decision verb|PP||X ni|830|||
84|object marker for verb in causative active tense|PP|ME#0069;0070|||||
85|object marker for giving/receiving verb|PP||X ni|826, 831|||
86|subject marker in a passive sentence|PP||X ni|832|||
