Index|Explanation|Rules|Example|
2||X no atari no|443|
3|Y en la proximidad de X|Y no atari de X @ X = action, Y = sustantivo|444|
4|X además de Y.|hoka ni X Y @ X = característica, Y = place|659;660|
5|aparte de X, Y es ...|X no hoka ni Y|661|
6|Utilice "kore" para la forma normal.||213|
7|Utilice "kochira" para la forma educada.||708|
8|Utilice "dolor" para la forma normal.|||
9|Utilice "sochira" para la forma educada.|||
10|Utilice "son" para la forma normal.|||
11|Utilice "achira" para la forma educada.|||
12|Uso básico.||717|
13||nan + (contador) + ka.|273|
14|Oraciones donde se usa nanika en lugar de nanidemo.||718|
15|Utilice "kore" para la forma normal.||316|
16|Use "kochira/kocchi" para la forma educada.|||
17|Use "dolor" para la forma normal.|||
18|Utilice "sochira" para la forma educada.|||
19|Utilice "son" para la forma normal.|||
20|Utilice "achira" para la forma educada.|||
21|Uso básico.||719|
22||dono + (sustantivo) + demo.|720|
23|Uso básico.||732|
24||donna + (sustantivo) + demo.|733|
25|Utilice "koko" para la forma normal.||734|
26|Use "kochira/kocchi" para la forma educada.|||
27|Utilice "soko" para la forma normal.||735|
28|Utilice "sochira/socchi" para la forma educada.|||
29|Utilice "asoko" para la forma normal.||736|
30|Utilice "achira/acchi" para la forma educada.||737|
31|||674|
32|mada + verbo: usar tiempo negativo.||675|
33|Use "Dare" para la forma normal.|||
34|Utilice "donata" para la forma educada.||688|
35|Use "dono" para la forma normal.||691|
36|Utilice "dochira" para la forma educada.|||
37|Utilice "Dore" para la forma normal.||692|
38|Utilice "doko" para la forma normal.||694|
39|Utilice "dochira" para la forma educada.|||
40|Utilice "dou" en forma normal, "kou" en respuesta a "dou".||695;696|
41|Utilice "ikaga" para la forma educada.||697|
42|Usa "to" en respuesta a "nanto".||698|
43|Uso "itsu".||699|
44|"nan" + uso del contador.||700|
45|¿Cómo se llama eso?||705|
46|¿Cuál es el sustantivo de X?||706;698|
47|Literalmente significa "no puede ser conocido".|X kamo shirenai @ X = verbo forma simple (incl. plain neg. o past)|1215;751;1216|
48||X kamo shirenai da @ X = adj. "i"|842|
49||X kamo shirenai da @ X = adj. "na"||
50||X kamo shirenai da @ X = sustantivo|316;507|
51|Se usa al final de una frase para dar énfasis al dar información. Use "yo" para el habla coloquial masculino y "da yo"/"wa yo" para el habla coloquial femenina.|X yo / X n da yo / X wa yo @ X = verbo|805|
52||X yo / X da yo / X wa yo @ X = sustantivo/adj. "na"/adj. "i"||
53||X ka @ X = verbo|808;1266|
54||Aumente el tono y omita "ka" cuando la pregunta esté en forma simple.|809|
55||"kai" o "kae" también usado en lenguaje familiar||
56|Utilizado de manera similar al "ka" interrogativo después de un verbo, "ka naa" es usado por los hombres y "ka shira" por las mujeres.|X ka naa/ka shira|1348|
57|"no" se usa a veces para enfatizar la incertidumbre/duda.|X no ka naa/ka shira @ X = verbo, adj. "i"||
58||X na no ka naa/ka shira @ X = sustantivo, adj. "na"||
59||X ga Y @ X = object, Y = verbo normal en forma "tai"|813|
60||X ga Y @ X = object, Y = verbo normal en forma "eru" (todos los tiempos)|335|
61||X ga Y @ X = object, Y = verbo normal en forma pasiva||
62||X ga Y @ X = object, Y = verbo normal en otros tiempos especiales||
63||X ga Y @ X = object, Y = ii, warui, suki, kirai||
64||X ga @ X = sujeto desconocido|814|
65||X ga @ X = respuesta a una pregunta sobre el sujeto|815|
66||X ga @ X = nueva información|816|
67||X ga @ X = sujeto enfantizado|817|
68||X ga Y @ X = sujeto, Y = verbo especial en forma afirmativa (p.ej. aru, furu)|818|
69||Use la construcción "X ni ... wo ..." cuando el verbo usa originalmente el marcador "wo", p.ej. "wo taberu".|1339;1340|
70||Use la construcción "X wo ... ni ..." cuando el verbo requiera el uso del marcador "ni", p.ej. "ni iku".|1343|
71|X tal como es. Se utiliza para enfatizar un hecho o acción.|X mama @ X = verbo en forma ta/nai/pasiva|854;855;856;1425;1426|
72||X no mama @ X = sustantivo|857;858|
73||X mama @ X = adj. "i", adj. "na", adj. demonstrativo (kono, sono, ano)|859;860;861|
74|X como debe ser, X según lo planeado, al igual que X. Se usa para enfatizar un hecho o acción. Utilice "doori" cuando yuxtaponga "toori" a un sustantivo para crear un sustantivo compuesto.|X toori (ni) @ X = verbo forma simple|862;863;1500|
75||X (no) toori/doori (ni) @ X = sustantivo|864;1501|
76|Sería mejor si X. Se utiliza para enfatizar una acción o estado de ser.|X hou ga ii da @ X = verbo en forma "ta" para frases afirmativas|865;423|
77||X hou ga ii da @ X = verbo en forma "nai" para frases negativas|866;1395|
78|Parece que [yo/tu/él/ella] [hago/haces/hace/soy/eres/es] X.|X mitai da @ X = verbo forma simple|868|
79||X mitai da @ X = sustantivo|869|
80|(Él) parece [hacer/ser] X/(He) escuchado que X (por lo que puedo ver). Tenga en cuenta que hay dos construcciones verbales que implican "sou", con diferentes significados.|X sou @ X = raíz de verbo (para presente simple), verbo forma simple (para otros tiempos)|871;1082;1327;1328|
81||X sou ni / sou mo nai @ X = verbo en forma "masu"|877;878|
82||X sou @ X = raíz de adj. "i" (excepción: ii >> yosasou)|872;873;874;879|
83||X da sou @ X = adj. "na"|875;876|
84||X da sou @ X = sustantivo: esa forma no se usa, use X mitai en su lugar||
85|Uso similar a "a" como partícula de cotización casual. Usando "n" suaviza la frase.|X tte @ X = verbo forma simple, adj. "i"|1404;1405|
86||X n datte @ X = verbo forma simple, adj. "i"|1407|
87||X datte @ X = sustantivo, adj. "na"|1406|
88||X na n datte @ X = sustantivo, adj. "na"||
89|(Él) parece [hacer/ser] X (de lo que puedo deducir).|X you da @ X = verbo forma simple, adj. "i"|881;1337;1338;882|
90||X na you da @ X = adj. "na"|883|
91||X no you da @ X = sustantivo|884;1335;1336|
92|Incluso si [yo/tu/él/ella] [hago/haces/hace/soy/eres/es] X.|X mo @ X = verbo en forma "te"||
93||X kutemo @ X = adj. "i" root||
94||X de mo @ X = adj. "na", sustantivo||
95|Demasiado X.|X sugiru @ X = verbo en forma "i"||
96||X sugiru @ X = adj. "i" root|1090;1257|
97||X sugiru @ X = adj. "na"||
98|En el caso que (usted) hace/es X.|X baai wa @ X = verbo forma simple, adj. "i"|899;1281;1282;1283;1284;1285;1286|
99||X na baai wa @ X = adj. "na"||
100||X no baai @ X = sustantivo|1288;1289;1290;1291|
101|Si X entonces Y. Referencia al hecho que existe, no necesariamente uno obvio.|X da to Y @ X = sustantivo/adj. "na", Y = frase||
102||X to Y @ X = verbo/adj. "i", Y = frase|900;901;902|
103|Si X entonces Y.|X nara/naraba Y @ X = sustantivo (use "naraba" en frases formales)|904|
104||X nara/naraba Y @ X = adj. "na" (use "naraba" en frases formales)|905|
105||X ba Y @ X ba = verbo en forma "ba". Si X es un verbo de acción, no puede describir la voluntad, esperanza, orden, juicio, solicitud, invitación, permiso, prohibición de un orador, etc.|906;907|
106||X kereba Y @ X = adj. "i" afirmatívo o raíz de verbo con fin "eiru" o "tai"|908;909|
107|Si no es X entonces Y.|X de nakereba Y @ X = sustantivo|910|
108||X de nakereba Y @ X = adj. "na"|911|
109||X Y @ X = verbo en forma nakereba. Si X es un verbo de acción, no puede describir la voluntad, esperanza, orden, juicio, solicitud, invitación, permiso, prohibición de un orador, etc.|912;913|
110||X kunakereba Y @ X = adj. "i" o verbo en forma "tai"|914|
111|Si no es X entonces Y. Forma coloquial de "nakereba".|X de nakya Y @ X = sustantivo|1400|
112||X de nakya Y @ X = adj. "na"|1398;1399|
113||X Y @ X = verbo en forma nakya. Si X es un verbo de acción, no puede describir la voluntad, esperanza, orden, juicio, solicitud, invitación, permiso, prohibición de un orador, etc.|1396|
114||X kunakya Y @ X = adj. "i" o verbo en forma "tai"|1397|
115|Debido a X. "shi" se usa generalmente para dar una lista de razones, y se repite según sea necesario.|X shi Y @ X = adj. "i" afirmatívo o raíz de verbo con fin "eiru" o "tai"||
116||X da shi Y @ X = sustantivo||
117||X da shi Y @ X = adj. "na"||
118||X shi @ X = verbo||
119|Si X entonces Y.|X dattara Y @ X = sustantivo, Y = frase en presento|916|
