Index|Explanation|Rules|Example|
2||X no atari no|443|
3|Y dans la vicinité de X.|Y no atari de X @ X = action, Y = nom|444|
4|X en plus de Y.|hoka ni X Y @ X = caractéristique, Y = place|659;660|
5|autre que X, Y est ...|X no hoka ni Y|661|
6|Utilisez "kore" pour la forme normale.||213|
7|Utilisez "kochira" pour une forme polie.||708|
8|Utilisez "douloureux" pour la forme normale.|||
9|Utilisez "sochira" pour une forme polie.|||
10|Utilisez "are" pour la forme normale.|||
11|Utilisez "achira" pour une forme polie.|||
12|Utilisation de base.||717|
13||nan + (compteur) + ka.|273|
14|Phrases où nanika est utilisé à la place de nanidemo.||718|
15|Utilisez "kore" pour la forme normale.||316|
16|Utilisez "kochira/kocchi" pour une forme polie.|||
17|Utilisez "douloureux" pour la forme normale.|||
18|Utilisez "sochira" pour une forme polie.|||
19|Utilisez "are" pour la forme normale.|||
20|Utilisez "achira" pour une forme polie.|||
21|Utilisation de base.||719|
22||dono + (nom) + demo.|720|
23|Utilisation de base.||732|
24|donna + (nom) + démo.||733|
25|Utilisez "koko" pour la forme normale.||734|
26|Utilisez "kochira/kocchi" pour une forme polie.|||
27|Utilisez "soko" pour la forme normale.||735|
28|Utilisez "sochira/socchi" pour une forme polie.|||
29|Utilisez "asoko" pour la forme normale.||736|
30|Utilisez "achira/acchi" pour une forme polie.||737|
31|||674|
32|mada + verbe: utilisez le temps négatif.||675|
33|Utilisez "osez" pour la forme normale.|||
34|Utilisez "donata" pour une forme polie.||688|
35|Utilisez "dono" pour la forme normale.||691|
36|Utilisez "dochira" pour une forme polie.|||
37|Utilisez "dore" pour la forme normale.||692|
38|Utilisez "doko" pour la forme normale.||694|
39|Utilisez "dochira" pour une forme polie.|||
40|Utilisez "dou" sous forme normale, "kou" en réponse à "dou".||695;696|
41|Utilisez "ikaga" pour une forme polie.||697|
42|Utilisez "to" en réponse à "nanto".||698|
43|ulilisation d'"itsu".||699|
44|nan + utilisation de compteur.||700|
45|Comment est-ce que ça s'appelle?||705|
46|Quel est le nom de X?||706;698|
47|Littéralement signifie "ne peut pas être connu".|X kamo shirenai @ X = verbe forme simple (incl. plain neg. ou past)|1215;751;1216|
48||X kamo shirenai da @ X = adj. "i"|842|
49||X kamo shirenai da @ X = adj. "na"||
50||X kamo shirenai da @ X = nom|316;507|
51|Utilisé à la fin d'une phrase informative pour l'accentuer. Utilisez "yo" pour le discours masculin et "da yo"/"wa yo" pour le discours féminin.|X yo/X n da yo/X wa yo @ X = verbe|805|
52||X yo/X da yo/X wa yo @ X = nom/adj. "na"/adj. "i"||
53||X ka @ X = verbe|808;1266|
54||Élevez le ton et omettez le "ka" lorsque la question est en forme simple.|809|
55||"kai" ou "kae" également utilisé dans un langage familier.||
56|Utilisé de manière similaire à l'interrogatif "ka" après un verbe, "ka naa" est utilisé par les hommes et "ka shira" par les femmes.|X ka naa/ka shira|1348|
