KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
watashi, 私, I, me, , |watashi|私|I, me|Pronoun||Singular Male in a normal dialogue, Singular Female in a casual dialogue||134||atashi||
atashi, 私, I, me, , |atashi|私|I, me|Pronoun||Colloquial||||||
watakushi, washi, 私, I, me, , |watakushi, washi|私|I, me|Pronoun||Singular Male in a formal dialogue, Singular Female in a normal dialogue||169||||
boku, 僕, I, me, , |boku|僕|I, me|Pronoun||Singular Male in a casual dialogue.||170||||
atashi, 私, I, me, , |atashi|私|I, me|Pronoun||Singular Female in a casual dialogue.||||||
warawa, 私, I, me, , |warawa|私|I, me|Pronoun||Archaic, singular female in humble language.||||||
ore, 俺, I, me, , |ore|俺|I, me|Pronoun||Singular Male in a casual dialogue, rough/arrogant connotation.||||||
oresama, 俺様, I, me, myself, , |oresama|俺様|I, me, myself|Pronoun||Used in pompous behavior.||||||
onore, 己, 己れ, I, me, oneself, , |onore|己, 己れ|I, me, oneself|Pronoun||||||||
watashitachi, watakushitachi, 私達, we, us, , |watashitachi, watakushitachi|私達|we, us|Pronoun||Plural Male/Female||||atashitachi||
atashitachi, 私達, we, us, , |atashitachi|私達|we, us|Pronoun||Colloquial, Plural Male/Female||||||
wareware, 我我, 我々, we, us, , |wareware|我我, 我々|we, us|Pronoun||||||||
orera, 俺ら, we, us, 己等, |orera|俺ら|we, us|Pronoun|||||||己等|
anata, 貴方, you, anta, |anata|貴方|you|Pronoun||Singular Male/Female|||||anta|
anta, 貴方, you, , |anta|貴方|you|Pronoun||Colloquial, Singular Male/Female||||||
anatagata, 貴方方, you, , |anatagata|貴方方|you|Pronoun||Plural Male/Female||||||
omae, omee, omai, お前, you, おめー, |omae, omee, omai|お前|you|Pronoun||Colloquial, male language, archaic|||||おめー|
onushi, お主, you, , |onushi|お主|you|Pronoun||When refering to one with equal or lower status, archaic.||||||
na, 己, you, , |na|己|you|Pronoun||||||||
kare, 彼, he, , |kare|彼|he|Pronoun||Singular Male||||||
koitsu, koyatsu, こいつ, こやつ, this fellow, this guy, this person, , |koitsu, koyatsu|こいつ, こやつ|this fellow, this guy, this person|Pronoun||Colloquial, usually impolite.||||||
soitsu, soyatsu, そいす, そやつ, that fellow, that guy, that person, that one, , |soitsu, soyatsu|そいす, そやつ|that fellow, that guy, that person, that one|Pronoun||||||||
kanojo, 彼女, she, , |kanojo|彼女|she|Pronoun||Singular Female||171||||
aitsu, 彼奴, he, she, that guy, , |aitsu|彼奴|he, she, that guy|Pronoun||Colloquial, usually impolite.||||||
karera, 彼ら, they, , |karera|彼ら|they|Pronoun||Plural Male||||||
kanojotachi, 彼女たち, they, , |kanojotachi|彼女たち|they|Pronoun||Plural Female||||||
sorera, 其れ等, those (near the second person), 其等, |sorera|其れ等|those (near the second person)|Pronoun|||||||其等|
aitsura, あいつら, they, , |aitsura|あいつら|they|Pronoun||||||||
yatsura, 奴ら, they, those guys, , |yatsura|奴ら|they, those guys|Pronoun||Colloquialism.||||||
watashi no, 私の, my, mine, , |watashi no|私の|my, mine|Pronoun||||1307||||
anata no, あなたの, your, yours, , |anata no|あなたの|your, yours|Pronoun||||||||
kare no, 彼の, his, , |kare no|彼の|his|Pronoun||||||||
kanojo no, 彼女の, her, hers, , |kanojo no|彼女の|her, hers|Pronoun||||||||
karetachi no, 彼たちの, their, theirs, , |karetachi no|彼たちの|their, theirs|Pronoun||||||||
kanojotachi no, 彼女たちの, their, theirs, , |kanojotachi no|彼女たちの|their, theirs|Pronoun||||||||
go, 語, language, , |go|語|language|Noun|Abstract Concept / Fact|||59||||
ryokou, 旅行, trip, , |ryokou|旅行|trip|Noun|Abstract Concept / Fact|||61, 1303||||
koe, 声, voice, sound, a cry, , |koe|声|voice, sound, a cry|Noun|Abstract Concept / Fact|||63, 1333||||
hooshi, 頬氏, service, , |hooshi|頬氏|service|Noun|Abstract Concept / Fact|||||||
baiu, 梅雨, rainy season, , |baiu|梅雨|rainy season|Noun|Abstract Concept / Fact|||||||
teate, 手当, salary, pay, compensation, benefit, bonus, allowance, , |teate|手当|salary, pay, compensation, benefit, bonus, allowance|Noun|Abstract Concept / Fact|||||||
hanjou, 繁盛, prosperity, flourishing, thriving, , |hanjou|繁盛|prosperity, flourishing, thriving|Noun|Abstract Concept / Fact|||||||
bunpou, 文法, grammar, syntax, , |bunpou|文法|grammar, syntax|Noun|Abstract Concept / Fact|||||||
gijutsu, 技術, art, craft, technique, technology, engineering, skill, , |gijutsu|技術|art, craft, technique, technology, engineering, skill|Noun|Abstract Concept / Fact|||||||
onaji, 同じ, similarity, identity, equality, uniformity, equivalence, common origin, changeless, likeness, , |onaji|同じ|similarity, identity, equality, uniformity, equivalence, common origin, changeless, likeness|Noun|Abstract Concept / Fact|||||||
douyou, 同様, identity, similarity, , |douyou|同様|identity, similarity|Noun|Abstract Concept / Fact|||||||
daisan, 第三, the third, , |daisan|第三|the third|Noun|Abstract Concept / Fact|||||||
kinou, 機能, function, facility, faculty, feature, , |kinou|機能|function, facility, faculty, feature|Noun|Abstract Concept / Fact|||||||
komoriuta, 子守歌, lullaby, , |komoriuta|子守歌|lullaby|Noun|Abstract Concept / Fact|||||||
ito, 意図, intention, aim, design, , |ito|意図|intention, aim, design|Noun|Abstract Concept / Fact|||||||
neiro, 音色, tone color, tone colour, tone quality, timbre​, synthesizer patch, synthesiser patch​, , |neiro|音色|tone color, tone colour, tone quality, timbre​, synthesizer patch, synthesiser patch​|Noun|Abstract Concept / Fact|||||||
seiri, 生理, physiology, mensruation, one's period, menses, , |seiri|生理|physiology, mensruation, one's period, menses|Noun|Abstract Concept / Fact|||||||
neuchi, 値打ち, value, worth, price, dignity, , |neuchi|値打ち|value, worth, price, dignity|Noun|Abstract Concept / Fact|||||||
baka, 馬鹿, trivial matter, folly, absurdity, , |baka|馬鹿|trivial matter, folly, absurdity|Noun|Abstract Concept / Fact|||||||
chinou, 知能, intelligence, brains, , |chinou|知能|intelligence, brains|Noun|Abstract Concept / Fact|||||||
kouzai, 功罪, good and bad, merits and demerits, , |kouzai|功罪|good and bad, merits and demerits|Noun|Abstract Concept / Fact|||||||
kouzaibou, 高山病, altitude sickness, mountain sickness, , |kouzaibou|高山病|altitude sickness, mountain sickness|Noun|Abstract Concept / Fact|||||||
gerira, ゲリラ, guerrilla, , |gerira|ゲリラ|guerrilla|Noun|Abstract Concept / Fact|||||||
chousho, 長所, strong point, merit, virtue, advantage, , |chousho|長所|strong point, merit, virtue, advantage|Noun|Abstract Concept / Fact|||||||
yokin, 預金, savings, , |yokin|預金|savings|Noun|Abstract Concept / Fact|||||||
pikapika, ぴかぴか, glitter, sparkle, , |pikapika|ぴかぴか|glitter, sparkle|Noun|Abstract Concept / Fact|||||||
kingaku, 金額, amount of money, , |kingaku|金額|amount of money|Noun|Abstract Concept / Fact|||||||
parasite, 寄生虫, kiseichuu, , |parasite|寄生虫|kiseichuu|Noun|Abstract Concept / Fact|||||||
rishi, 利子, interest (monetary), , |rishi|利子|interest (monetary)|Noun|Abstract Concept / Fact|||||||
genkin, 現金, cash, ready money, money on hand, currency, , |genkin|現金|cash, ready money, money on hand, currency|Noun|Abstract Concept / Fact|||||||
kouza bangou, 口座番号, account number, , |kouza bangou|口座番号|account number|Noun|Abstract Concept / Fact|||||||
taiiku, 体育, physical education, gymnastics, athletics, , |taiiku|体育|physical education, gymnastics, athletics|Noun|Abstract Concept / Fact|||||||
parasite, 寄生虫, kiseichuu, , |parasite|寄生虫|kiseichuu|Noun|Abstract Concept / Fact|||||||
zenkou, 全校, the whole school, , |zenkou|全校|the whole school|Noun|Abstract Concept / Fact|||||||
chikusangaku, 畜産学, animal husbandry, , |chikusangaku|畜産学|animal husbandry|Noun|Abstract Concept / Fact|||||||
gen, koto, 言, word, remark, statement, , |gen, koto|言|word, remark, statement|Noun|Abstract Concept / Fact|||||||
rirekisho, 履歴書, personal history, curriculum vitae, CV, resume, résumé, , |rirekisho|履歴書|personal history, curriculum vitae, CV, resume, résumé|Noun|Abstract Concept / Fact|||||||
zenkou, 善行, good deed, good conduct, benevolence, , |zenkou|善行|good deed, good conduct, benevolence|Noun|Abstract Concept / Fact|||||||
bukka, 物価, price of commodities, cost-of-living, consumer price, , |bukka|物価|price of commodities, cost-of-living, consumer price|Noun|Abstract Concept / Fact|||||||
memai, 目眩, dizziness, giddiness, vertigo, , |memai|目眩|dizziness, giddiness, vertigo|Noun|Abstract Concept / Fact|||||||
takara, 宝, treasure, , |takara|宝|treasure|Noun|Abstract Concept / Fact|||||||
shuukyuu, 週休, week-long holiday, , |shuukyuu|週休|week-long holiday|Noun|Abstract Concept / Fact|||||||
sotsugyoushiki, 卒業式, graduation ceremony, graduation excercises, , |sotsugyoushiki|卒業式|graduation ceremony, graduation excercises|Noun|Abstract Concept / Fact|||||||
shimekiri, 締め切り, deadine, closing, cut-off, end, 締切り, |shimekiri|締め切り|deadine, closing, cut-off, end|Noun|Abstract Concept / Fact||||||締切り|
takarakuji, 宝くじ, lottery, , |takarakuji|宝くじ|lottery|Noun|Abstract Concept / Fact|||||||
kakko, 括弧, parenthesis, brackets, , |kakko|括弧|parenthesis, brackets|Noun|Abstract Concept / Fact|||||||
nichijou, 日常, ordinary, regular, everyday, usual, , |nichijou|日常|ordinary, regular, everyday, usual|Noun|Abstract Concept / Fact|||||||
kechi, けち, miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, bad luck, ill omen, glitch, , |kechi|けち|miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, bad luck, ill omen, glitch|Noun|Abstract Concept / Fact|||||||
omoi, 思い, thought, imagination, mind, heart, desire, wish, hope, expectation, love, affection, feelings, emotion, sentiment, experience, , |omoi|思い|thought, imagination, mind, heart, desire, wish, hope, expectation, love, affection, feelings, emotion, sentiment, experience|Noun|Abstract Concept / Fact|||||||
kawari, 変わり, 変り, change, alteration, unusual state or event,accident,abnormality, difference,distinction, , |kawari|変わり, 変り|change, alteration, unusual state or event,accident,abnormality, difference,distinction|Noun|Abstract Concept / Fact|||||||
tegakari, 手掛かり, clue, key, trail, scent, track, contact, handhold, on hand, , 手がかり|tegakari|手掛かり|clue, key, trail, scent, track, contact, handhold, on hand|Noun|Abstract Concept / Fact|||||||
nougaku, 農学, agriculture, , |nougaku|農学|agriculture|Noun|Abstract Concept / Fact|||||||
bin, 便, flight, trip, service, mail, post, letter, opportunity, chance, , |bin|便|flight, trip, service, mail, post, letter, opportunity, chance|Noun|Abstract Concept / Fact|||||||
