KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
zero, 〇, ゼロ, zero, 0, |zero|〇, ゼロ|zero|Noun|Number||||||0|
ichi, 一, one, 1, |ichi|一|one|Noun|Number||||||1|
ni, 二, two, 2, |ni|二|two|Noun|Number||||||2|
san, 三, three, 3, |san|三|three|Noun|Number|||2|||3|
yon, shi, 四, four, 4, |yon, shi|四|four|Noun|Number||||||4|
go, 五, five, 5, |go|五|five|Noun|Number|||3|||5|
roku, 六, six, 6, |roku|六|six|Noun|Number|||4|||6|
nana, shichi, 七, seven, 7, |nana, shichi|七|seven|Noun|Number||||||7|
hachi, 八, eight, 8, |hachi|八|eight|Noun|Number|||5|||8|
kyuu, 九, nine, 9, |kyuu|九|nine|Noun|Number|||6|||9|
juu, too, 十, ten, 10, |juu, too|十|ten|Noun|Number|||7|||10|
juu ichi, 十一, eleven, 11, |juu ichi|十一|eleven|Noun|Number||||||11|
juu ni, 十二, twelve, 12, |juu ni|十二|twelve|Noun|Number||||||12|
juu san, 十三, thirteen, 13, |juu san|十三|thirteen|Noun|Number||||||13|
juu yon, 十四, fourteen, 14, |juu yon|十四|fourteen|Noun|Number||||||14|
juu go, 十五, fifteen, 15, |juu go|十五|fifteen|Noun|Number||||||15|
juu roku, 十六, sixteen, 16, |juu roku|十六|sixteen|Noun|Number||||||16|
juu nana, juu shichi, 十七, seventeen, 17, |juu nana, juu shichi|十七|seventeen|Noun|Number||||||17|
juu hachi, 十八, eighteen, 18, |juu hachi|十八|eighteen|Noun|Number||||||18|
juu kyuu, 十九, nineteen, 19, |juu kyuu|十九|nineteen|Noun|Number||||||19|
nijuu, 二十, twenty, 20, |nijuu|二十|twenty|Noun|Number||||||20|
sanjuu, 三十, thirty, 30, |sanjuu|三十|thirty|Noun|Number||||||30|
yonjuu, 四十, fourty, 40, |yonjuu|四十|fourty|Noun|Number||||||40|
gojuu, 五十, fifty, 50, |gojuu|五十|fifty|Noun|Number||||||50|
rokujuu, 六十, sixty, 60, |rokujuu|六十|sixty|Noun|Number||||||60|
