1.2D2D2D|0|
1.E2BA81|27+0|
1.E2BA84|5+0|
1.E2BA88|18+0|
1.E2BA8A|25+0|
1.E2BA8C|42+0|
1.E2BA8D|42+0|
1.E2BA8E|43+0|
1.E2BA91|43+0|
1.E2BA95|58+0|
1.E2BA97|61+0|
1.E2BA99|66+0|
1.E2BA9B|71+0|
1.E2BA9C|72+0|
1.E2BAA0|83+1|
1.E2BAA2|85+0|
1.E2BAA6|75+0|
1.E2BAA7|93+0|
1.E2BAAA|103+0|
1.E2BAAE|118+0|
1.E2BAB2|122+0|
1.E2BAB3|122+0|
1.E2BAB4|122+0|
1.E2BAB5|122+0|
1.E2BAB6|123+0|
1.E2BAB7|123+0|
1.E2BAB8|123+0|
1.E2BABA|129+0|
1.E2BABB|129+0|
1.E2BABC|130+0|
1.E2BABD|134+0|
1.E2BABF|140+0|
1.E2BB80|140+0|
1.E2BB81|141+2|
1.E2BB85|147+0|
1.E2BB86|148+0|
1.E2BB87|148+0|
1.E2BB8A|157+0|
1.E2BB8C|162+0|
1.E2BB8D|162+0|
1.E2BB8E|162+0|
1.E2BB95|170+0|
1.E2BB97|173+0|
1.E2BBA1|185+0|
1.E2BC85|6|
1.E2BC97|24|
1.E2BD85|70|
1.E2BD86|71|
1.E2BE91|146|
1.E392B0|11+3|
1.E392B1|11+3|
1.E392B2|11+4|
1.E392B3|11+5|
1.E392B4|11+5|
1.E392B5|12+5|
1.E392B6|12+5|
1.E392B7|12+5|
1.E392B8|12+7|
1.E392B9|12+18|
1.E394BE|26+0|
1.E395A2|154+7|
1.E398A6|32+2|
1.E398B1|32+5|
1.E398B2|32+5|
1.E398B3|32+5|
1.E398B4|32+5|
1.E398B5|32+5|
1.E398B6|32+6|
1.E398B7|32+6|
1.E398B8|32+6|
1.E398B9|32+6|
1.E398BA|32+6|
1.E398BB|32+6|
1.E398BC|32+6|
1.E398BD|32+6|
1.E398BE|32+6|
1.E398BF|32+7|
1.E39980|32+7|
1.E39981|32+7|
1.E39982|32+7|
1.E39983|32+7|
1.E39984|32+7|
1.E39985|32+7|
1.E39986|32+7|
1.E39987|32+8|
1.E39988|32+8|
1.E39989|32+8|
1.E3998A|32+8|
1.E3998B|32+8|
1.E3998C|32+8|
1.E3998D|32+8|
1.E3998E|32+9|
1.E3998F|32+9|
1.E39990|32+9|
1.E39991|32+9|
1.E39992|32+9|
1.E39993|32+9|
1.E39994|32+9|
1.E39995|32+9|
1.E39996|32+9|
1.E39997|32+9|
1.E39998|32+9|
1.E399A0|32+11|
1.E399A1|32+11|
1.E399A2|32+11|
1.E399A3|32+11|
1.E399A4|32+11|
1.E399A5|32+11|
1.E399A6|32+11|
1.E399A7|32+12|
1.E399A8|32+12|
1.E399A9|32+12|
1.E399AA|32+12|
1.E399AB|32+12|
1.E399AC|32+12|
1.E399AD|32+12|
1.E399AE|32+12|
1.E399AF|32+12|
1.E399B0|32+13|
1.E399B1|32+13|
1.E399B2|32+13|
1.E399B3|32+13|
1.E399B4|32+13|
1.E399B5|32+13|
1.E399B6|32+13|
1.E399B7|32+14|
1.E399B8|32+14|
1.E399B9|32+14|
1.E399BA|32+14|
1.E399BB|32+15|
1.E399BC|32+15|
1.E399BD|32+15|
1.E399BE|32+16|
1.E399BF|32+16|
1.E39A80|32+17|
1.E39A81|32+21|
1.E39A82|32+22|
1.E3B598|85+12|
1.E489B5|184+14|
1.E48AB5|120+2|
1.E48AB6|120+3|
1.E48AB7|120+3|
1.E48AB8|120+3|
1.E48AB9|120+3|
1.E48ABA|120+4|
1.E48ABB|120+4|
1.E48ABC|120+4|
1.E48ABD|120+4|
1.E48ABE|120+4|
1.E48ABF|120+4|
1.E48B80|120+4|
1.E48B81|120+4|
1.E48B82|120+4|
1.E48B83|120+4|
1.E48B84|120+4|
1.E48B85|120+4|
1.E48B86|120+4|
1.E48B87|120+4|
1.E48B88|120+5|
1.E48B89|120+5|
1.E48B8A|120+5|
1.E48B8B|120+5|
1.E48B8C|120+5|
1.E48B8D|120+5|
1.E48B8E|120+5|
1.E48B8F|120+5|
1.E48B90|120+5|
1.E48B91|120+5|
1.E48B92|120+5|
1.E48B93|120+5|
1.E48B94|120+5|
1.E48B95|120+6|
1.E48B96|120+6|
1.E48B97|120+6|
1.E48B98|120+6|
1.E48B99|120+6|
1.E48B9A|120+6|
1.E48B9B|120+6|
1.E48B9C|120+6|
1.E48B9D|120+6|
1.E48B9E|120+6|
1.E48B9F|120+7|
1.E48BA0|120+7|
1.E48BA1|120+7|
1.E48BA2|120+7|
1.E48BA3|120+7|
1.E48BA4|120+7|
1.E48BA5|120+7|
1.E48BA6|120+7|
1.E48BA7|120+8|
1.E48BA8|120+8|
1.E48BA9|120+8|
1.E48BAA|120+8|
1.E48BAB|120+8|
1.E48BAC|120+8|
1.E48BAD|120+8|
1.E48BAE|120+8|
1.E48BAF|120+8|
1.E48BB0|120+8|
1.E48BB1|120+8|
1.E48BB2|120+8|
1.E48BB3|120+9|
1.E48BB4|120+9|
1.E48BB5|120+9|
1.E48BB6|120+9|
1.E48BB7|120+9|
1.E48BB8|120+9|
1.E48BB9|120+9|
1.E48BBA|120+9|
1.E48BBB|120+9|
1.E48BBC|120+9|
1.E48BBD|120+9|
1.E48BBE|120+9|
1.E48BBF|120+9|
1.E48C80|120+9|
1.E48C81|120+9|
1.E48C82|120+9|
1.E48C83|120+9|
1.E48C84|120+9|
1.E48C85|120+10|
1.E48C86|120+10|
1.E48C87|120+10|
1.E48C88|120+10|
1.E48C89|120+10|
1.E48C8A|120+10|
1.E48C8B|120+10|
1.E48C8C|120+11|
1.E48C8D|120+11|
1.E48C8E|120+11|
1.E48C8F|120+11|
1.E48C90|120+11|
1.E48C91|120+11|
1.E48C92|120+11|
1.E48C93|120+11|
1.E48C94|120+11|
1.E48C95|120+11|
1.E48C96|120+12|
1.E48C97|120+12|
1.E48C98|120+12|
1.E48C99|120+12|
1.E48C9A|120+12|
1.E48C9B|120+12|
1.E48C9C|120+13|
1.E48C9D|120+13|
1.E48C9E|120+13|
1.E48C9F|120+13|
1.E48CA0|120+13|
1.E48CA1|120+13|
1.E48CA2|120+13|
1.E48CA3|120+14|
1.E48CA4|120+14|
1.E48CA5|120+14|
1.E48CA6|120+14|
1.E48CA7|120+14|
1.E48CA8|120+15|
1.E48CA9|120+15|
1.E48CAA|120+16|
1.E48CAB|120+16|
1.E48CAC|120+16|
1.E48CAD|120+16|
1.E48CAE|120+17|
1.E48CAF|120+18|
1.E48CB0|120+18|
1.E48CB1|120+18|
1.E48CB2|120+18|
1.E48CB3|120+19|
1.E48CB4|120+19|
1.E48CB5|120+21|
1.E48CB6|120+3|
1.E48CB7|120+5|
1.E48CB8|120+4|
1.E48CB9|120+5|
1.E48CBE|120+9|
1.E48CBF|120+9|
1.E48D80|120+10|
1.E48D81|120+13|
1.E49291|140+0|
1.E499B7|147+3|
1.E499B8|147+3|
1.E499B9|147+4|
1.E499BA|147+4|
1.E499BB|147+4|
1.E499BC|147+5|
1.E499BD|147+5|
1.E499BE|147+5|
1.E499BF|147+5|
1.E49A80|147+6|
1.E49A81|147+6|
1.E49A82|147+7|
1.E49A83|147+7|
1.E49A84|147+8|
1.E49A85|147+8|
1.E49A86|147+9|
1.E49A87|147+9|
1.E49A88|147+9|
1.E49A89|147+9|
1.E49A8A|147+10|
1.E49A8B|147+10|
1.E49A8C|147+10|
1.E49A8D|147+11|
1.E49A8E|147+11|
1.E49A8F|147+12|
1.E49A90|147+12|
1.E49A91|147+12|
1.E49A92|147+12|
1.E49A93|147+12|
1.E49A94|147+14|
1.E49A95|147+19|
1.E49A96|147+24|
1.E49AAE|149+2|
1.E49AAF|149+2|
1.E49AB0|149+2|
1.E49AB1|149+3|
1.E49AB2|149+3|
1.E49AB3|149+4|
1.E49AB4|149+4|
1.E49AB5|149+4|
1.E49AB6|149+4|
1.E49AB7|149+4|
1.E49AB8|149+4|
1.E49AB9|149+4|
1.E49ABA|149+4|
1.E49ABB|149+4|
1.E49ABC|149+4|
1.E49ABD|149+4|
1.E49ABE|149+4|
1.E49ABF|149+4|
1.E49B80|149+4|
1.E49B81|149+4|
1.E49B82|149+4|
1.E49B83|149+4|
1.E49B84|149+5|
1.E49B85|149+5|
1.E49B86|149+5|
1.E49B87|149+5|
1.E49B88|149+5|
1.E49B89|149+5|
1.E49B8A|149+5|
1.E49B8B|149+5|
1.E49B8C|149+5|
1.E49B8D|149+5|
1.E49B8E|149+5|
1.E49B8F|149+5|
1.E49B90|149+5|
1.E49B91|149+5|
1.E49B92|149+5|
1.E49B93|149+5|
1.E49B94|149+6|
1.E49B95|149+6|
1.E49B96|149+6|
1.E49B97|149+6|
1.E49B98|149+6|
1.E49B99|149+6|
1.E49B9A|149+6|
1.E49B9B|149+6|
1.E49B9C|149+6|
1.E49B9D|149+7|
1.E49B9E|149+7|
1.E49B9F|149+7|
1.E49BA0|149+7|
1.E49BA1|149+7|
1.E49BA2|149+7|
1.E49BA3|149+7|
1.E49BA4|149+7|
1.E49BA5|149+7|
1.E49BA6|149+7|
1.E49BA7|149+7|
1.E49BA8|149+7|
1.E49BA9|149+8|
1.E49BAA|149+8|
1.E49BAB|149+8|
1.E49BAC|149+8|
1.E49BAD|149+8|
1.E49BAE|149+8|
1.E49BAF|149+8|
1.E49BB0|149+8|
1.E49BB1|149+8|
1.E49BB2|149+8|
1.E49BB3|149+8|
1.E49BB4|149+8|
1.E49BB5|149+8|
1.E49BB6|149+8|
1.E49BB7|149+8|
1.E49BB8|149+8|
1.E49BB9|149+9|
1.E49BBA|149+9|
1.E49BBB|149+9|
1.E49BBC|149+9|
1.E49BBD|149+9|
1.E49BBE|149+10|
1.E49BBF|149+10|
1.E49C80|149+10|
1.E49C81|149+10|
1.E49C82|149+10|
1.E49C83|149+11|
1.E49C84|149+11|
1.E49C85|149+11|
1.E49C86|149+11|
1.E49C87|149+11|
1.E49C88|149+11|
1.E49C89|149+11|
1.E49C8A|149+11|
1.E49C8B|149+12|
1.E49C8C|149+12|
1.E49C8D|149+12|
1.E49C8E|149+12|
1.E49C8F|149+12|
1.E49C90|149+12|
1.E49C91|149+12|
1.E49C92|149+13|
