Family|English|T/I|Prep|Kana|Kanji|u-stem|Root Kanji|Root|Exception|
||||||||||
su godan||||hikari|XXXす|su|||3|
su godan|send back (someone), send home (someone) |T|を|かえす|帰す|kaesu|帰|kae|3|
su godan|speak (e.g. a language), talk|T|を|はなす|話す|hanasu|話|hana|3|
su godan|raise, cause, wake someone|T|を|おくす|起こす|okosu|起こ|oko|3|
su godan|scatter, disperse, distribute, spread, resolve, relieve, get rid of, cure, distract, divert|T|を|ちらす|散らす|chirasu|散ら|chira|3|
su godan|lend, loan, rent out, hire out|T|を|かす|貸す|kasu|貸|ka|3|
su godan|push, press|T|を|おす|押す|osu|押|o|3|
su godan|exchange (words), intersect, cross, interlace|T|を|かわす|交わす|kawasu|交わ|kawa|3|
su godan|leave (something behind), set aside, bequeath, save (e.g. for later), reserve (e.g. for later)|T|を|のこす|残す|nokosu|残|noko|3|
su godan|turn off, extinguish, erase|T|を|けす|消す|kesu|消|ke|3|
su godan|search for, look for, seek|T|を|さがす|探す|sagasu|探|saga|3|
su godan|do|T|を|いたす|致す|itasu|致|ita|4|
su godan|say, be called|T|を|もうす|申す|mousu|申|mou|5|
su godan|brush, comb out|T|を|とかす|梳かす|tokasu|梳か|toka|3|
su godan|melt, dissolve|T|を|とかす|溶かす|tokasu|溶か|toka|3|
su godan|produce (e.g. results), bring about|T|を|もたらす|齎す|motarasu|齎|motara|3|
su godan|translate, interpret|T|を|やくす|訳す|yakusu|訳|yaku|3|
su godan|spill, drop, shed (tears), grumble, complain, let one's feelings show|T|を|こぼす|零す|kobosu|零|kobo|3|
su godan|take out, put out, reveal, show, submit, turn in, publish, make public, send, produce (a sound), start (a fire), serve (food)|T|を|だす|出す|dasu|出|da|3|
su godan|spit out, vomit|T|を|はきだす|吐き出す|hakidasu|吐き出|hakida|3|
su godan|break, smash, destroy, demolish, wreck, ruin, spoil, damage|T|を|こわす|壊す|kowasu|壊|kowa|3|
su godan|find out, discover, notice, detect, select, pick out, look outside, be wide-eyed (in surprise, anger…)|T|を|みだす|見出す|miidasu|見出|miida|3|
su godan|boil, heat (a liquid), excite|T|を|わかす|沸かす|wakasu|沸か|waka|3|
su godan|recall, remember, recollect (lit. pull out a memory)|T|を|おもいだす|思い出す|omoidasu|思い出|omoida|3|
su godan|move (residence)|I||みっこす|引っ越す|hikkosu|引っ越|hikko|3|
su godan|trick, cheat, deceive|T|を|だます|騙す|damasu|騙|dama|3|
su godan|encourage, cheer, raise (the voice)|T|を|はげます|励ます|hagemasu|励ま|hagema|3|
su godan|unfasten, undo, remove, take off, uninstall, leave, step out, slip away, miss (a target)|T|を|はずす|外す|hazusu|外|hazu|3|
su godan|abate, decrease, diminish, shorten|T|を|へらす|減らす|herasu|減ら|hera|3|
su godan|banter, make fun of, jeer at, cool, refrigerate|T|を|ひやかす|冷やかす|hiyakasu|冷やか|hiyaka|3|
su godan|cool (from room temperature), chill, refrigerate, calm down, cool off, regain one's composure, relax, be frightened (at), be scared (of)|T|を|ひやす|冷やす|hiyasu|冷や|hiya|3|
su godan|destroy, overthrow, wreck, ruin|T|を|ほおぼす|滅ぼす|horobosu|滅ぼ|horobo|3|
su godan|air, dry, desiccate, drain (off), drink up, deprive (of a role, job, etc.)|T|を|ほす|干す|hosu|干|ho|3|
su godan|express (in words), confess|T|を|いいあらわす|言い表す|iiarawasu|言い表|iiarawa|3|
su godan|start talking, speak, tell, propose, suggest, break the ice|T|を|いいだす|言い出す|iidasu|言い出|iida|3|
su godan|spread a rumor, spread a rumour, talk about|T|を|いいふらす|言い触らす|iifurasu|言い触ら|iifura|3|
su godan|talk back, answer back, retort, say again, repeat words, say repeatedly|T|を|いいかえす|言い返す|iikaesu|言い返|iikae|3|
su godan|steam, poultice, be sultry|T|を|むす|蒸す|musu|蒸|mu|3|
su godan|ripen, mature, be ready for action, be the right time (act), be in common use, come sound natural, become skilled|I||じゅくす|熟す|jukusu|熟|juku|3|
su godan|return (something), restore, put back, turn over, turn upside down, overturn, pay back, retaliate, reciprocate|T|を|かえす|返す|kaesu|返|kae|3|
su godan|hatch, incubate|T|を|かえす|孵す|kaesu|孵|kae|3|
su godan|hide, conceal (something)|T|を|かくす|隠す|kakusu|隠|kaku|3|
su godan|dry (clothes, etc.), desiccate|T|を|かわかす|乾かす|kawakasu|乾か|kawaka|3|
su godan|plan, intend, aspire to, set aims on, set sights on|T|を|かころざす|志す|kokorozasu|志|kokoroza|3|
su godan|concentrate, devote (oneself), apply (oneself), strain, rack|T|を|こらす|凝らす|korasu|凝ら|kora|3|
su godan|kill|T|を|ころす|殺す|korosu|殺|koro|3|
su godan|cross over (e.g. mountain), go across, pass time (e.g. a winter), move house|T|を|こす|越す|kosu|越|ko|3|
su godan|live, get along, spend (time)|T|を|くらす|暮らす|kurasu|暮ら|kura|3|
su godan|repeat, do something over again|T|を|くりかえす|繰り返す|kurikaesu|繰り返|kurikae|3|
su godan|destroy, pull down, make change (money)|T|を|くずす|崩す|kuzusu|崩|kuzu|3|
su godan|defeat|T|を|まかす|負かす|makasu|負か|maka|3|
su godan|consider as, regard (as equivalent), deem (as), equate|T|を|みなす|見なす|minasu|見な|mina|3|
su godan|miss, overlook, leave at large, let pass|T|を|みのがす|見逃す|minogasu|見逃|minoga|3|
su godan|restore, put back, return, give back|T|を|もどす|戻す|modosu|戻|modo|3|
su godan|let leak, reveal, leak, give utterance, vent, express, wet one's pants, omit, leave out|T|を|もらす|漏らす|morasu|漏ら|mora|3|
su godan|drain, pour, spill, shed (blood, tears), wash away, distribute (e.g. electricity over wires), circulate, broadcast, beam, cruise (e.g. taxi), float, set adrift, call off (a meeting, etc.)|T|を|ながす|流す|nagasu|流|naga|3|
su godan|lose something, get rid of|T|を|なくす|無くす|nakusu|無く|naku|3|
su godan|cure, heal|T|を|なおす|治す|naosu|治|nao|3|
su godan|grow long (beard, hair, etc.), lengthen, extend, stretch, reach out, hold out, straighten, smooth out, spread evenly (dough, cream, etc.), dilute, thin out, prolong, strengthen, develop, expand|T|を|のばす|伸ばす|nobasu|伸ば|noba|3|
su godan|drop, lose, fail, let fall, shed (light), cast (one's gaze), pour in (liquid), leave (out, behind), clean off (dirt), remove (stains), omit, secretly let escape, reject (an applicant), defeat, lower (voice), lessen (body weight), worsen (quality), reduce (popularity), speak badly of, make one's own, conquer, force (a confession), deal with, download, copy (IT term), finish (a story)|T|を|おとす|落とす|otosu|落と|oto|3|
su godan|shine|I||さす|射す|sasu|射|sa|3|
su godan|denote, show, point out, indicate, exemplify|T|を|しめす|示す|shimesu|示|shime|3|
