Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES|
17904|itasu|致す||1||を|致|ita|4|4486||16947||17252||
17905|mousu|申す||1||を|申|mou|5|4487;11739||16948||17253||
17906|kaesu|帰す|還す|1||を|帰|kae|3|4476;23156||16949||17254||
17907|hanasu|話す|咄す|1||を|話|hana|3|15753;15754;15755||16950||17255||
17908|okosu|起こす|起す|1||を|起こ|oko|3|4478;9861;9862;9863;9864;9865;9866;9867;9868||16951;16952;16953;16954;16955;16956;16957;16958||17256||
17909|chirasu|散らす||1||を|散ら|chira|3|4479;8736;8737;8738;8739||16959;16960;16961;16962;16963||17257||
17910|kasu|貸す||1||を|貸|ka|3|4480||16964;16965||17258;17259||
17911|osu|押す|捺す, 圧す|1||を|押|o|3|4481;36206;36207;36208;36209;36210;36211;36212;36213;36214;36215;36216||16966;16967;16968;16969;16970;16971;16972;16973;16974;16975;16976;16977||17260;17261;17262||
17912|kawasu|交わす||1||を|交わ|kawa|3|4482||16978||17263||
17913|nokosu|残す|遺す|1||を|残|noko|3|4483;6964||16979||17264||
17914|kesu|消す||1||を|消|ke|3|23182;23183;23184;23185||16980;16981;16982;16983||17265;17266;17267||
17915|sagasu|探す|捜す|1||を|探|saga|3|9962;9963||16984;16985||17268||
17916|tokasu|梳かす|解かす, 融かす|0||を|梳か|toka|3|4488||16986||||
17917|tokasu|溶かす|融かす, 熔かす, 鎔かす, 解かす|1||を|溶か|toka|3|11979;35472||16987||17269||
17918|motarasu|齎す||1||を|齎|motara|3|4490||16988||||
17919|yakusu|訳す||1||を|訳|yaku|3|4491||16989||17270||
17920|kobosu|零す|溢す|1||を|零|kobo|3|4492||16990;16991;16992||17271;17272||
17921|dasu|出す||1||を|出|da|3|4493;12765;12766;12767;12768;12769;12770;12771||16993;16994;16995;16996;16997;16998;16999||17273;17274;17275;17276;17277;17278;17279;17280||
17922|hakidasu|吐き出す||0||を|吐き出|hakida|3|4494||17000||||
17923|kowasu|壊す||1||を|壊|kowa|3|4495;7454;7455||17001;17002;17003||17281||
17924|miidasu|見出す|見いだす|1||を|見出|miida|3|4496||17004||17282||
17925|wakasu|沸かす||1||を|沸か|waka|3|4497||17005;17006;17007||17283||
17926|omoidasu|思い出す|思出す, おもい出す, 思いだす|1||を|思い出|omoida|3|4498||17008||17284||
17927|hikkosu|引っ越す|引っこす, 引越す, 引き越す, hikikosu|1|||引っ越|hikko|3|4499;18269||17009||17285||
17928|damasu|騙す||1||を|騙|dama|3|4500||17010;17011||17286||
17929|hagemasu|励ます||1||を|励ま|hagema|3|4501||17012||17287||
17930|hazusu|外す||1||を|外|hazu|3|4502;12285;12286;12287;12288;12289||17013;17014;17015;17016||17288;17289;17290||
17931|herasu|減らす||1||を|減ら|hera|3|4503||17017||17291||
17932|hiyakasu|冷やかす|冷かす, 素見す|1||を|冷やか|hiyaka|3|4504;36476;36477||17018;17019;17020||17292||
17933|hiyasu|冷やす|冷す|1||を|冷や|hiya|3|4505;36478;36479||17021;17022||17293||
17934|horobosu|滅ぼす||0||を|滅ぼ|horobo|3|4506||17023||17294||
17935|hosu|干す|乾す|1||を|干|ho|3|4507;35598;35599;35600||17024;17025;17026;17027||17295;17296;17297;17298||
17936|iiarawasu|言い表す||1||を|言い表|iiarawa|3|4508||17028||17299||
17937|iidasu|言い出す|言出す, 言いだす|1||を|言い出|iida|3|4509;12310;12311||17029||17300||
17938|iifurasu|言い触らす||1||を|言い触ら|iifura|3|4510||||||
17939|iikaesu|言い返す||1||を|言い返|iikae|3|4511||17030||17301||
17940|musu|蒸す||1||を|蒸|mu|3|4512||17031;17032||17302||
17941|jukusu|熟す||0|||熟|juku|3|4513||||||
17942|kaesu|返す|反す|1||を|返|kae|3|4514;14667;14668;14669;19053||17033;17034;17035;17036||17303;17304;17305;17306||
17943|kaesu|孵す||0||を|孵|kae|3|4515||||||
17944|kakusu|隠す||1||を|隠|kaku|3|4516||17037||17307||
17945|kawakasu|乾かす||1||を|乾か|kawaka|3|4517||17038||17308||
17946|kokorozasu|志す||1||を|志|kokoroza|3|4518;11640||17039||17309||
17947|korasu|凝らす||0||を|凝ら|kora|3|4519||||||
17948|korosu|殺す||1||を|殺|koro|3|4520||17040||17310||
17949|kosu|越す||1||を|越|ko|3|4521;13024;13025;13026;13027;13028||17041;17042;17043;17044;17045;17046||17311||
17950|kurasu|暮らす|暮す|1||を|暮ら|kura|3|4522;23225||17047;17048||17312;17313||
17951|kurikaesu|繰り返す|繰返す, 繰りかえす, くり返す|1||を|繰り返|kurikae|3|4523||17049||17314||
17952|kuzusu|崩す||1||を|崩|kuzu|3|4524;7804;7805;7806;7807;7808;7809;7810||17050;17051;17052;17053;17054;17055;17056||17315||
17953|makasu|負かす||1||を|負か|maka|3|4525||17057||17316||
17954|minasu|見なす|見做す, 看做す|1||を|見な|mina|3|4526||17058||17317||
17955|minogasu|見逃す||1||を|見逃|minoga|3|4527||17059||17318||
17956|modosu|戻す||1||を|戻|modo|3|21166;21167;21168||17060;17061;17062||17319||
17957|morasu|漏らす||1||を|漏ら|mora|3|4529||17063||17320||
17958|nagasu|流す||1||を|流|naga|3|4530;18312;18313;18314;18315;18316;18317||17064;17065;17066;17067;17068;17069||17321;17322;17323||
17959|nakusu|無くす||1||を|無く|naku|3|4531;13837;13838||17070;17071;17072||17324;17325||
17960|naosu|治す|直す|1||を|治|nao|3|4532;6960;19380||17073;17074;17075;17076;17077||17326;17327||
17961|nobasu|伸ばす||1||を|伸ば|noba|3|4533;8366;8367;8368;8369;8370;8371;8372;8373||17078;17079;17080;17081;17082;17083;17084||17328;17329;17330;17331;17332;17333;17334;17335;17336||
17962|otosu|落とす|落す|1||を|落と|oto|3|21250;21251;21252;21253;21254;21255;21256;21257;21258||17085;17086;17087;17088;17089;17090;17091;17092||17337||
17963|sasu|射す||1|||射|sa|3|4535||17093||17338||
17964|shimesu|示す||1||を|示|shime|3|4536;16269;16270;16271||17094;17095;17096||17339||
17965|tamesu|試す|験す|1||を|試|tame|3|4537||17097||17340||
17966|taosu|倒す|仆す, 斃す, 殪す|1||を|倒|tao|3|11955;11956;11957;11958||17098;17099;17100||17341||
17967|tasu|足す||1||を|足|ta|3|4539;15312;15313||17101;17102;17103||17342;17343;17344||
